market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2
1.232144381,Alexandre Muller,Adam Walton,,,01dff03ffb,Alexandre Muller,Alexandre Muller,Adam Walton,2024-08-26,9630445,10410236
1.232144385,Arantxa Rus,Ana Bogdan,,,e80b8d7cf3,,,,,2451050,3875013
1.232144477,Pablo Carreno Busta,Arthur Cazaux,,,a012e24ae6,Arthur Cazaux,Arthur Cazaux,Pablo Carreno Busta,2024-08-26,5479878,24918582
1.232144616,Viktoriya Tomova,Ekaterina Alexandrova,,,61a9544179,,,,,4597116,8681458
1.232145108,Lorenzo Sonego,Tommy Paul,,,58f61402d7,Tommy Paul,Tommy Paul,Lorenzo Sonego,2024-08-26,8826925,8859306
1.232145203,Amanda Anisimova,Qinwen Zheng,,,6abb5fdc4d,,,,,11636088,18848380
1.232145502,Caroline Dolehide,Danielle Collins,,,4b61303fe0,,,,,9202281,9626845
1.232145671,Sara Sorribes Tormo,Alexa Noel,,,7d5514e2cb,,,,,6356637,13132687
1.23214607,Nadia Podoroska,Diana Shnaider,,,d5fc086f2c,,,,,9042349,41341015
1.232146149,Caroline Garcia,Renata Zarazua,,,38f192defd,,,,,5248977,9042343
1.232146336,Andrey Rublev,Thiago Seyboth Wild,,,e3395eef67,Andrey Rublev,Andrey Rublev,Thiago Seyboth Wild,2024-08-26,7797771,9632015
1.232146435,Sara Errani,Cristina Bucsa,,,a718b5a150,,,,,2309567,9629258
1.232146895,Sofia Kenin,Emma Raducanu,,,0faf16715a,,,,,9149629,18849246
1.23214731,Tomas Martin Etcheverry,Giovanni Mpetshi Perric,,,2f6d82a019,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Giovanni Mpetshi Perricard,2024-08-26,9631399,19544747
1.232147396,Tamara Korpatsch,Moyuka Uchijima,,,0d0a31ffef,,,,,9166525,13074045
1.232147655,Brandon Nakashima,Holger Rune,,,b19a738473,Brandon Nakashima,Brandon Nakashima,Holger Rune,2024-08-26,17806048,39127965
1.232147666,Roberto Bautista Agut,Luca Nardi,,,0ea65589ad,Roberto Bautista Agut,Roberto Bautista Agut,Luca Nardi,2024-08-26,4290403,19544753
1.232147944,Bernarda Pera,Anna Bondar,,,4adb655835,,,,,8784983,9304685
1.232148363,Sebastian Baez,Luciano Darderi,,,44220b33da,Sebastian Baez,Sebastian Baez,Luciano Darderi,2024-08-26,11285506,26309941
1.232148568,Alexander Bublik,Juncheng Shang,,,0dc1380515,Juncheng Shang,Juncheng Shang,Alexander Bublik,2024-08-26,8907933,38901959
1.232148786,Yue Yuan,Erika Andreeva,,,a24c022d60,,,,,9634353,27187697
1.232149082,Reilly Opelka,Lorenzo Musetti,,,debf3cdc7f,Lorenzo Musetti,Lorenzo Musetti,Reilly Opelka,2024-08-26,8859316,13834991
1.232149173,Marcos Giron,Alex De Minaur,,,f8c796ffcf,Alex De Minaur,Alex De Minaur,Marcos Giron,2024-08-26,8230256,10109527
1.232149419,Karolina Muchova,Katie Volynets,,,762efcfced,,,,,9632758,13369546
1.232149614,Magda Linette,Iva Jovic,,,7fe448000d,,,,,7083215,41768059
1.232149846,Yulia Putintseva,Linda Noskova,,,2e79769255,,,,,4259580,22088831
1.232150107,Alejandro Davidovich Fokina,Rinky Hijikata,,,3ab9b88930,Rinky Hijikata,Rinky Hijikata,Alejandro Davidovich Fokina,2024-08-26,9953368,12343905
1.232150494,Zachary Svajda,Matteo Arnaldi,,,1f6a40dd5a,Matteo Arnaldi,Matteo Arnaldi,Zachary Svajda,2024-08-26,20832494,21067270
1.232150513,Viktorija Golubic,Paula Badosa,,,5efc42f0df,,,,,7283232,7412588
1.232150977,Lesia Tsurenko,Peyton Stearns,,,75ce120994,,,,,5300861,13835088
1.232151052,Petra Martic,Jessica Bouzas Maneiro,,,6a768c3dbd,,,,,2346703,18848405
1.232151178,Sebastian Ofner,Francisco Cerundolo,,,e3e5d700c1,Francisco Cerundolo,Francisco Cerundolo,Sebastian Ofner,2024-08-26,9631178,11204210
1.232151633,Jannik Sinner,Mackenzie McDonald,,,60445ec335,Jannik Sinner,Jannik Sinner,Mackenzie Mcdonald,2024-08-26,10372253,10691901
1.232151854,Dominic Thiem,Ben Shelton,,,9376037704,Ben Shelton,Ben Shelton,Dominic Thiem,2024-08-26,5720747,39460566
1.232152197,Chloe Paquet,Harriet Dart,,,7794a26867,,,,,7216239,8595916
1.232152219,Clara Tauson,Anna Karolina Schmiedlova,,,d61ef71223,,,,,18848679,40900202
1.23215247,Christopher Eubanks,Arthur Rinderknech,,,f15b01471f,Arthur Rinderknech,Arthur Rinderknech,Christopher Eubanks,2024-08-26,7445660,9953233
1.232152517,Lauren Davis,Anna Kalinskaya,,,489d6925ee,,,,,4176991,8907174
1.232152973,Madison Keys,K Siniakova,,,ef5264f293,,,,,3800907,61042216
1.232153233,Sloane Stephens,Clara Burel,,,832dee4be3,,,,,2923342,10351066
