market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2
1.232144381,Alexandre Muller,Adam Walton,1.51,200.0,01dff03ffb,,,,,9630445,10410236
1.232144385,Arantxa Rus,Ana Bogdan,1.01,16.0,e80b8d7cf3,Arantxa Rus,Arantxa Rus,Ana Bogdan,2024-08-26,2451050,3875013
1.232144477,Pablo Carreno Busta,Arthur Cazaux,1.62,2.56,a012e24ae6,,,,,5479878,24918582
1.232144616,Viktoriya Tomova,Ekaterina Alexandrova,3.4,1.04,61a9544179,Ekaterina Alexandrova,Ekaterina Alexandrova,Viktoriya Tomova,2024-08-26,4597116,8681458
1.232145108,Lorenzo Sonego,Tommy Paul,130.0,1.22,58f61402d7,,,,,8826925,8859306
1.232145203,Amanda Anisimova,Qinwen Zheng,200.0,1.55,6abb5fdc4d,Qinwen Zheng,Qinwen Zheng,Amanda Anisimova,2024-08-26,11636088,18848380
1.232145502,Caroline Dolehide,Danielle Collins,1.01,8.6,4b61303fe0,Caroline Dolehide,Caroline Dolehide,Danielle Collins,2024-08-26,9202281,9626845
1.232145671,Sara Sorribes Tormo,Alexa Noel,1.17,7.4,7d5514e2cb,Sara Sorribes Tormo,Sara Sorribes Tormo,Alexa Noel,2024-08-26,6356637,13132687
1.23214607,Nadia Podoroska,Diana Shnaider,7.6,1.15,d5fc086f2c,Diana Shnaider,Diana Shnaider,Nadia Podoroska,2024-08-26,9042349,41341015
1.232146149,Caroline Garcia,Renata Zarazua,50.0,1.02,38f192defd,Renata Zarazua,Renata Zarazua,Caroline Garcia,2024-08-26,5248977,9042343
1.232146336,Andrey Rublev,Thiago Seyboth Wild,1.1,11.0,e3395eef67,,,,,7797771,9632015
1.232146435,Sara Errani,Cristina Bucsa,1.08,4.7,a718b5a150,Sara Errani,Sara Errani,Cristina Bucsa,2024-08-26,2309567,9629258
1.232146895,Sofia Kenin,Emma Raducanu,1.01,34.0,0faf16715a,Sofia Kenin,Sofia Kenin,Emma Raducanu,2024-08-26,9149629,18849246
1.23214731,Tomas Martin Etcheverry,Giovanni Mpetshi Perric,1.01,2.46,2f6d82a019,,,,,9631399,19544747
1.232147396,Tamara Korpatsch,Moyuka Uchijima,21.0,1.01,0d0a31ffef,Moyuka Uchijima,Moyuka Uchijima,Tamara Korpatsch,2024-08-26,9166525,13074045
1.232147655,Brandon Nakashima,Holger Rune,1.02,1.63,b19a738473,,,,,17806048,39127965
1.232147666,Roberto Bautista Agut,Luca Nardi,1.05,4.5,0ea65589ad,,,,,4290403,19544753
1.232147944,Bernarda Pera,Anna Bondar,34.0,1.02,4adb655835,Anna Bondar,Anna Bondar,Bernarda Pera,2024-08-26,8784983,9304685
1.232148363,Sebastian Baez,Luciano Darderi,1.01,17.5,44220b33da,,,,,11285506,26309941
1.232148568,Alexander Bublik,Juncheng Shang,2.38,1.71,0dc1380515,,,,,8907933,38901959
1.232148786,Yue Yuan,Erika Andreeva,1.79,1.36,a24c022d60,Erika Andreeva,Erika Andreeva,Yue Yuan,2024-08-26,9634353,27187697
1.232149082,Reilly Opelka,Lorenzo Musetti,990.0,1.42,debf3cdc7f,,,,,8859316,13834991
1.232149173,Marcos Giron,Alex De Minaur,140.0,1.28,f8c796ffcf,,,,,8230256,10109527
1.232149419,Karolina Muchova,Katie Volynets,1.02,4.0,762efcfced,Karolina Muchova,Karolina Muchova,Katie Volynets,2024-08-26,9632758,13369546
1.232149614,Magda Linette,Iva Jovic,1.21,5.8,7fe448000d,Iva Jovic,Iva Jovic,Magda Linette,2024-08-26,7083215,41768059
1.232149846,Yulia Putintseva,Linda Noskova,1.01,17.5,2e79769255,Yulia Putintseva,Yulia Putintseva,Linda Noskova,2024-08-26,4259580,22088831
1.232150107,Alejandro Davidovich Fokina,Rinky Hijikata,21.0,1.04,3ab9b88930,,,,,9953368,12343905
1.232150494,Zachary Svajda,Matteo Arnaldi,3.6,1.39,1f6a40dd5a,,,,,20832494,21067270
1.232150513,Viktorija Golubic,Paula Badosa,15.0,1.07,5efc42f0df,Paula Badosa,Paula Badosa,Viktorija Golubic,2024-08-26,7283232,7412588
1.232150977,Lesia Tsurenko,Peyton Stearns,5.1,1.01,75ce120994,Peyton Stearns,Peyton Stearns,Lesia Tsurenko,2024-08-26,5300861,13835088
1.232151052,Petra Martic,Jessica Bouzas Maneiro,2.46,1.62,6a768c3dbd,Jessica Bouzas Maneiro,Jessica Bouzas Maneiro,Petra Martic,2024-08-26,2346703,18848405
1.232151178,Sebastian Ofner,Francisco Cerundolo,3.6,1.41,e3e5d700c1,,,,,9631178,11204210
1.232151633,Jannik Sinner,Mackenzie McDonald,1.04,27.0,60445ec335,,,,,10372253,10691901
1.232151854,Dominic Thiem,Ben Shelton,13.5,1.08,9376037704,,,,,5720747,39460566
1.232152197,Chloe Paquet,Harriet Dart,2.86,1.53,7794a26867,Harriet Dart,Harriet Dart,Chloe Paquet,2024-08-26,7216239,8595916
1.232152219,Clara Tauson,Anna Karolina Schmiedlova,1.7,50.0,d61ef71223,Clara Tauson,Clara Tauson,Anna Karolina Schmiedlova,2024-08-26,18848679,40900202
1.23215247,Christopher Eubanks,Arthur Rinderknech,4.0,1.33,f15b01471f,,,,,7445660,9953233
1.232152517,Lauren Davis,Anna Kalinskaya,9.2,1.13,489d6925ee,Anna Kalinskaya,Anna Kalinskaya,Lauren Davis,2024-08-26,4176991,8907174
1.232152973,Madison Keys,K Siniakova,1.47,3.1,ef5264f293,,,,,3800907,61042216
1.232153233,Sloane Stephens,Clara Burel,13.5,1.01,832dee4be3,Clara Burel,Clara Burel,Sloane Stephens,2024-08-26,2923342,10351066
1.232153388,Anastasia Potapova,Leylah Fernandez,1.12,4.5,e15ca89fd4,Anastasia Potapova,Anastasia Potapova,Leylah Fernandez,2024-08-26,10554735,11987709
1.232153462,Daria Kasatkina,Jaqueline Cristian,1.04,26.0,f0e23803cf,Daria Kasatkina,Daria Kasatkina,Jaqueline Cristian,2024-08-26,7795290,9627961
1.232153666,Yafan Wang,Maria Sakkari,4.0,200.0,42911b4f45,Yafan Wang,Yafan Wang,Maria Sakkari,2024-08-26,7695509,9002331
1.23215369,Daniel  Evans,Karen Khachanov,4.8,1.26,9aa44904db,,,,,3103121,7659623
1.232153987,Botic Van de Zandschulp,Denis Shapovalov,4.0,1.33,5111acdbcc,,,,,11204614,19924829
1.232154031,Taylor Townsend,Martina Trevisan,1.2,17.5,761a3bebdf,Taylor Townsend,Taylor Townsend,Martina Trevisan,2024-08-26,7066166,9345630
1.23215434,Francisco Comesana,Dominic Stricker,1.02,50.0,f29e33bdfa,,,,,14833278,40400880
1.232154539,Varvara Gracheva,Coco Gauff,13.5,1.08,f7be1a4aaf,Coco Gauff,Coco Gauff,Varvara Gracheva,2024-08-26,10942984,19249131
1.232154721,Xiyu Wang,Diane Parry,6.0,1.2,836dcc774f,Diane Parry,Diane Parry,Xiyu Wang,2024-08-26,11352357,12737413
1.232154903,James Duckworth,Flavio Cobolli,3.85,1.06,799bc04bfd,,,,,6064287,16570658
1.232154963,Marta Kostyuk,Mccartney Kessler,1.46,3.15,296cf47b48,Marta Kostyuk,Marta Kostyuk,Mccartney Kessler,2024-08-26,11694656,11942064
1.232155175,Elina Svitolina,Maria Carle,1.01,60.0,f6e230d488,,,,,6324464,9630728
1.232155421,Laslo Djere,Jan-Lennard Struff,4.6,1.29,84151dc0d6,,,,,7692106,8259098
1.232155756,Jelena Ostapenko,Naomi Osaka,2.48,1.62,811046a795,Naomi Osaka,Naomi Osaka,Jelena Ostapenko,2024-08-26,8827537,64406703
1.232155789,Thanasi Kokkinakis,Stefanos Tsitsipas,1.03,50.0,65b0b19e6b,,,,,8172416,9193006
1.232156019,Dominik Koepfer,Alexander Shevchenko,17.0,1.07,2915b6d72e,,,,,9953145,15134244
1.232156109,Fabio Fognini,Tomas Machac,4.3,1.3,e5cc7a6ed4,,,,,2319544,16149495
1.232156312,Beatriz Haddad Maia,Elina Avanesyan,1.02,34.0,afbc3598a3,Beatriz Haddad Maia,Beatriz Haddad Maia,Elina Avanesyan,2024-08-26,7083752,14383103
1.232156564,Anastasia Pavlyuchenkova,Taylah Preston,1.13,8.6,40930d00ab,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova,Taylah Preston,2024-08-26,11057836,28071385
1.232156611,Aleksandar Vukic,Max Purcell,1.83,2.3,0c7ea89436,,,,,8979695,10460213
1.232156654,Marton Fucsovics,Jiri Lehecka,2.84,1.58,f99d153bfb,,,,,4827766,13203243
1.232157067,Lucia Bronzetti,Lulu Sun,2.52,250.0,b015776a1b,Lucia Bronzetti,Lucia Bronzetti,Lulu Sun,2024-08-26,9631351,17311444
1.232157105,Magdalena Frech,Greet Minnen,55.0,1.15,0739150e7d,Greet Minnen,Greet Minnen,Magdalena Frech,2024-08-26,8444351,10108736
1.232157353,Nicolas Jarry,Christopher O'Connell,1.51,2.78,1d47a4a7c2,,,,,8260515,8942164
1.2321577,Anna Blinkova,Emma Navarro,8.2,1.12,53be99e17f,Emma Navarro,Emma Navarro,Anna Blinkova,2024-08-26,9635244,10410355
1.232158223,Zizou Bergs,Pavel Kotov,1.01,50.0,1cfde6721d,,,,,9634024,10166537
1.232158609,Federico Coria,Nuno Borges,9.2,1.15,fc3cb86772,,,,,8326752,9633043
1.232158654,Maria Camila Osorio Serrano,Mirra Andreeva,7.4,1.03,6ebd308045,Mirra Andreeva,Mirra Andreeva,Camila Osorio,2024-08-26,23677835,71652894
1.232158857,Qiang Wang,Liudmila Samsonova,14.5,1.01,0e4a474e3f,Liudmila Samsonova,Liudmila Samsonova,Qiang Wang,2024-08-26,6145777,72035517
1.232159071,Oceane Dodin,Anhelina Kalinina,6.8,1.21,ae690caef2,Anhelina Kalinina,Anhelina Kalinina,Oceane Dodin,2024-08-26,7289631,8907168
1.232159109,Karolina Pliskova,Mayar Sherif,1.12,6.4,5df147b986,Karolina Pliskova,Karolina Pliskova,Mayar Sherif,2024-08-26,6199453,9028621
1.232159336,Jakub Mensik,Felix Auger-Aliassime,1.03,1.3,0167db3928,,,,,39835947,71712371
1.232159539,Zhizhen Zhang,Jack Draper,3.85,1.35,68d90280cb,,,,,9628959,15313804
1.232159699,Shuai Zhang,Ashlyn Krueger,8.6,1.11,df99b0399e,Ashlyn Krueger,Ashlyn Krueger,Shuai Zhang,2024-08-26,2386498,24143371
1.232159886,Dayana Yastremska,Jule Niemeier,4.4,1.28,f345dad041,Jule Niemeier,Jule Niemeier,Dayana Yastremska,2024-08-26,9634670,11173943
1.232160054,Arthur Fils,Learner Tien,1.28,3.9,835c4c94da,,,,,38374961,42082091
1.23216828,Caroline Wozniacki,Nao Hibino,1.2,5.6,526ec0fae5,Caroline Wozniacki,Caroline Wozniacki,Nao Hibino,2024-08-26,2309522,7683152
1.232168285,Laura Siegemund,Maya Joint,8.6,1.13,1edcc41896,Maya Joint,Maya Joint,Laura Siegemund,2024-08-26,4829328,38310223
1.232168462,Aliaksandra Sasnovich,Katie Boulter,1000.0,1.6,201fb1fd66,Katie Boulter,Katie Boulter,Aliaksandra Sasnovich,2024-08-26,7283310,8619018
1.232168477,Priscilla Hon,A Sabalenka,40.0,1.02,889018a59e,Aryna Sabalenka,Aryna Sabalenka,Priscilla Hon,2024-08-26,8196370,64669276
1.2321689,Destanee Aiava,Elena Rybakina,18.0,1.06,46d9b4c4b8,Elena Rybakina,Elena Rybakina,Destanee Aiava,2024-08-26,9634855,10349398
1.23216891,Tatjana Maria,Solana Sierra,1.03,34.0,dd40be34d1,Tatjana Maria,Tatjana Maria,Solana Sierra,2024-08-26,7299657,20954981
1.232168911,Ann Li,Ajla Tomljanovic,2.2,1.76,341b0ef6a6,Ajla Tomljanovic,Ajla Tomljanovic,Ann Li,2024-08-26,11313157,63264473
1.232169269,Victoria Azarenka,Yulia Starodubtseva,1.2,5.1,dc91175dd8,Victoria Azarenka,Victoria Azarenka,Yuliia Starodubtseva,2024-08-26,2263640,51615560
1.232169275,Julia Grabher,Elena-Gabriela Ruse,14.5,1.07,43be171e6e,Elena Gabriela Ruse,Elena Gabriela Ruse,Julia Grabher,2024-08-26,8681454,11439772
