player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Pavel Kotov,Tallon Griekspoor,3.4,1.32,0.2942455489987687,0.0004348665958135989,-0.06840412467837476,Tallon Griekspoor
Mikael Ymer,Yoshihito Nishioka,1.63,2.23,0.673871406723125,0.0984103929586937,-0.2727332369925687,Yoshihito Nishioka
Cristian Garin,Sebastian Korda,10.0,1.03,0.1285139178831078,0.285139178831078,-0.10236933541960103,Sebastian Korda
Bernabe Zapata Miralles,Karen Khachanov,10.0,1.05,0.1340320437680137,0.340320437680137,-0.09073364595641431,Karen Khachanov
Daniel Altmaier,Frances Tiafoe,6.75,1.1,0.1633999041548863,0.10294935304548258,-0.07973989457037489,Frances Tiafoe
Juncheng Shang,Oscar Otte,1.17,4.8,0.8756530271741039,0.024514041793701535,-0.4031345304356986,Juncheng Shang
Francisco Cerundolo,Guido Pella,1.01,19.0,0.9367274663890748,-0.05390525894703446,0.20217813860757916,Francisco Cerundolo
Arthur Rinderknech,Yosuke Watanuki,29.0,1.0,0.1040725360734668,2.018103546130537,-0.10407253607346678,Yosuke Watanuki
Jannik Sinner,Kyle Edmund,1.0,34.0,0.9415989155589573,-0.05840108444104275,0.9856368709954535,Jannik Sinner
Constant Lestienne,Thiago Monteiro,2.02,1.8,0.5378856976831726,0.08652910932000868,-0.1681942558297107,Constant Lestienne
Quentin Halys,Stefanos Tsitsipas,5.8,1.15,0.1870083872026768,0.08464864577552533,-0.0650596452830784,Stefanos Tsitsipas
Jason Kubler,Sebastian Baez,1.32,3.3,0.812044824918683,0.07189916889266157,-0.379747922231654,Jason Kubler
Lloyd Harris,Lorenzo Musetti,3.25,1.36,0.3136955210236694,0.01951044332692553,-0.06662590859219031,Lloyd Harris
Rinky Hijikata,Yannick Hanfmann,2.02,1.79,0.5358662604891246,0.08244984618803164,-0.1692006062755329,Rinky Hijikata
Denis Shapovalov,Dusan Lajovic,1.12,6.1,0.8968453243428485,0.004466763263990314,-0.3707564784913757,Denis Shapovalov
Borna Coric,Jiri Lehecka,1.31,3.45,0.8193816498081582,0.07338996124868724,-0.3768666918381457,Jiri Lehecka
Ernesto Escobedo,Taro Daniel,2.35,1.58,0.4445042113339378,0.04458489663475396,-0.1223166539076217,Taro Daniel
Lorenzo Sonego,Nuno Borges,1.35,3.2,0.8016826411776213,0.08227156558978876,-0.3653844517683882,Lorenzo Sonego
Dalibor Svrcina,Jaume Munar,2.78,1.45,0.3694605242837301,0.027100257508769543,-0.08571776021140864,Dalibor Svrcina
Jack Draper,Rafael Nadal,3.1,1.37,0.3247665798445142,0.006776397517993971,-0.07493021438698433,Rafael Nadal
Cameron Norrie,Constant Lestienne,1.11,6.5,0.9010539771815008,0.00016991467146598715,-0.3568508516797553,Cameron Norrie
Botic Van de Zandschulp,Tallon Griekspoor,1.8,2.02,0.6130472556551209,0.10348506017921766,-0.21835545642334409,Tallon Griekspoor
Corentin Moutet,Francisco Cerundolo,1.93,1.88,0.5673179961489063,0.09492373256738906,-0.18655783275994398,Francisco Cerundolo
Novak Djokovic,Roberto Carballes Baena,1.01,20.0,0.9371344005838252,-0.05349425541033648,0.2573119883234951,Novak Djokovic
Casper Ruud,Tomas Machac,1.17,5.0,0.8780081356322917,0.027269518689781336,-0.3900406781614587,Casper Ruud
Lloyd Harris,Marton Fucsovics,1.73,2.0,0.6231407117296592,0.07803343129231055,-0.24628142345931847,Marton Fucsovics
Rinky Hijikata,Stefanos Tsitsipas,11.0,1.05,0.1314382650868604,0.44582091595546447,-0.0880101783412034,Stefanos Tsitsipas
Frances Tiafoe,Juncheng Shang,1.14,6.14,0.8934640882718998,0.01854906062996564,-0.345869501989465,Frances Tiafoe
Daniil Medvedev,John Millman,1.02,17.0,0.934298754305232,-0.047015270608663284,0.11692117681105563,Daniil Medvedev
Denis Shapovalov,Taro Daniel,1.18,4.8,0.8736850212641872,0.030948325091740836,-0.3936881020680988,Denis Shapovalov
Hubert Hurkacz,Lorenzo Sonego,1.23,4.2,0.8545412802059569,0.051085774653326865,-0.38907337686501886,Hubert Hurkacz
Miomir Kecmanovic,Nicolas Jarry,1.83,1.83,0.5751907926325271,0.05259915051752473,-0.22259915051752466,Nicolas Jarry
Alejandro Davidovich Fokina,Alexander Bublik,1.14,5.4,0.8877755802614392,0.012064161498040571,-0.39398813341177175,Alejandro Davidovich Fokina
Ben Shelton,Zhizhen Zhang,1.45,2.75,0.7570194045642326,0.09767813661813718,-0.33180336255163956,Ben Shelton
Daniel Elahi Galan,Jeremy Chardy,1.4,2.8,0.7710851005316751,0.07951914074434518,-0.3590382814886903,Jeremy Chardy
Andrey Rublev,Dominic Thiem,1.02,22.0,0.9364139488363052,-0.044857772186968625,0.39889312560128465,Andrey Rublev
Diego Schwartzman,Oleksii Krutykh,1.38,2.9,0.7811420486510326,0.07797602713842489,-0.3653119410879947,Diego Schwartzman
Laslo Djere,Zizou Bergs,1.7,2.1,0.6434776132418251,0.09391194251110258,-0.25130298780783256,Laslo Djere
Benjamin Bonzi,Mattia Bellucci,1.94,1.78,0.5463904641974711,0.05999750054309372,-0.19257502627149847,Benjamin Bonzi
Aslan Karatsev,Grigor Dimitrov,10.5,1.05,0.1326680442323904,0.39301446444009924,-0.08930144644400995,Grigor Dimitrov
Alexei Popyrin,Chun Hsin Tseng,1.15,6.58,0.8943738638701814,0.028529943450708473,-0.3049800242657934,Alexei Popyrin
Fabio Fognini,Thanasi Kokkinakis,5.7,1.2,0.2030636460640863,0.1574627825652919,-0.0436763752769036,Thanasi Kokkinakis
Richard Gasquet,Ugo Humbert,1.75,2.0,0.6192878986838446,0.08375382269672804,-0.2385757973676892,Ugo Humbert
Joao Sousa,Roberto Bautista Agut,10.4,1.08,0.1411135205597368,0.4675806138212628,-0.07240260220451566,Roberto Bautista Agut
Emil Ruusuvuori,Max Purcell,1.4,3.45,0.8006773287934774,0.12094826031086825,-0.312336784337497,Emil Ruusuvuori
Nikoloz Basilashvili,Taylor Fritz,11.5,1.03,0.1249363995170648,0.43676859444624516,-0.09868449150257674,Taylor Fritz
Andy Murray,Matteo Berrettini,4.2,1.23,0.2388911907976016,0.003343001349926711,-0.06383616468104991,Andy Murray
Adrian Mannarino,John Isner,2.0,1.79,0.5389166238959693,0.07783324779193856,-0.174660756773785,Adrian Mannarino
Sebastian Korda,Yosuke Watanuki,1.2,4.7,0.8684512185462817,0.042141462255538054,-0.38172072716752403,Sebastian Korda
