player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
John Isner,Nuno Borges,2.9,1.41,0.2374964974821316,-0.31126015730181833,0.07512993855019423,Nuno Borges
Jiri Vesely,Stefanos Tsitsipas,17.0,1.02,0.0819764185090879,0.3935991146544944,-0.06361594687926964,Stefanos Tsitsipas
Daniel Elahi Galan,Matteo Arnaldi,2.6,1.5,0.2725512004639129,-0.2913668787938264,0.0911731993041307,Matteo Arnaldi
Andrey Rublev,Laslo Djere,1.2,4.4,0.7330149962805559,-0.12038200446333291,0.1747340163655542,Andrey Rublev
Mackenzie Mcdonald,Sebastian Korda,2.7,1.47,0.2603466853367529,-0.2970639495907671,0.08729037255497318,Sebastian Korda
Facundo Diaz Acosta,Jason Kubler,1.68,2.15,0.485635259802963,-0.18413276353102215,0.10588419142362948,Jason Kubler
David Goffin,Hubert Hurkacz,2.75,1.45,0.2534355374373067,-0.3030522720474066,0.08251847071590523,Hubert Hurkacz
Constant Lestienne,Karen Khachanov,13.0,1.03,0.0867456855875014,0.12769391263751828,-0.059348056155126394,Karen Khachanov
Hugo Grenier,Marton Fucsovics,4.5,1.21,0.1539119984956699,-0.30739600676948553,0.023766481820239438,Marton Fucsovics
Daniel Evans,Thanasi Kokkinakis,1.79,2.05,0.452616851423157,-0.18981583595254892,0.12213545458252817,Thanasi Kokkinakis
Patrick Kypson,Radu Albot,2.98,1.4,0.2317442866085456,-0.3094020259065341,0.07555799874803615,Radu Albot
Pedro Martinez,Tallon Griekspoor,1.78,2.09,0.4595905093943417,-0.1819288932780717,0.12945583536582572,Tallon Griekspoor
Maxime Cressy,Sebastian Ofner,2.9,1.42,0.2395506185771595,-0.3053032061262374,0.07983812162043336,Sebastian Ofner
Alexander Shevchenko,Oscar Otte,1.38,3.04,0.6314164597243086,-0.12864528558045418,0.12049396243810184,Alexander Shevchenko
Ben Shelton,Lorenzo Sonego,2.9,1.42,0.2395506185771595,-0.3053032061262374,0.07983812162043336,Lorenzo Sonego
Arthur Cazaux,Corentin Moutet,1.95,1.85,0.3985913476960655,-0.2227468719926723,0.11260600676227894,Corentin Moutet
Adrian Mannarino,Ugo Humbert,4.1,1.24,0.1664763759197621,-0.3174468587289754,0.03356929385949514,Ugo Humbert
Jurij Rodionov,Lucas Pouille,2.1,1.68,0.350564215171726,-0.26381514813937545,0.0910521185115003,Lucas Pouille
