player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Milos Raonic,Stefanos Tsitsipas,3.55,1.3,0.2846150638177226,0.01038347655291516,-0.06999958296303932,Stefanos Tsitsipas
Gregoire Barrere,Jakub Mensik,1.82,2.0,0.4845108310359299,-0.11819028751460758,0.03097833792814031,Jakub Mensik
Casper Ruud,Emilio Nava,1.15,4.6,0.712382970344099,-0.18075958410428616,0.3230383364171443,Casper Ruud
Frances Tiafoe,Learner Tien,1.01,18.0,0.7949278634654522,-0.19712285789989326,2.6912984576218606,Frances Tiafoe
Lorenzo Musetti,Titouan Droguet,1.1,6.5,0.7445135854698195,-0.18103505598319847,0.6606616944461732,Titouan Droguet
Pavel Kotov,Rinky Hijikata,2.05,1.77,0.434287003454138,-0.10971164291901714,0.0013120038861758054,Rinky Hijikata
Ben Shelton,Pedro Cachin,1.22,5.3,0.7037039858082395,-0.14148113731394785,0.570368875216331,Ben Shelton
Adrian Mannarino,Yosuke Watanuki,1.45,2.75,0.5941801111161672,-0.1384388388815576,0.11600469443054018,Adrian Mannarino
Alexander Bublik,Dominic Thiem,1.57,2.38,0.5515011525802606,-0.13414319044899092,0.06742725685897977,Dominic Thiem
Alejandro Davidovich Fokina,Marcos Giron,1.34,3.3,0.6384310706624144,-0.1445023653123646,0.19317746681403225,Alejandro Davidovich Fokina
Ilya Ivashka,Juan Manuel Cerundolo,1.38,3.05,0.621161468756907,-0.14279717311546836,0.15545752029143345,Juan Manuel Cerundolo
Alexei Popyrin,Dominic Stricker,1.55,2.4,0.556257986628486,-0.1378001207258467,0.06498083209163341,Dominic Stricker
Stefano Travaglia,Tommy Paul,10.0,1.05,0.1815718524062178,0.8157185240621778,-0.14065044502652857,Tommy Paul
Steve Johnson,Taylor Fritz,12.0,1.05,0.177389792330729,1.1286775079687477,-0.13625928194726544,Taylor Fritz
Hugo Gaston,Sho Shimabukuro,2.04,1.78,0.4364578418146799,-0.109626002698053,0.003105041569869904,Hugo Gaston
Bernabe Zapata Miralles,Ethan Quinn,1.44,2.75,0.5961463482965464,-0.14154925845297317,0.11059754218449735,Bernabe Zapata Miralles
Enzo Couacaud,Jiri Vesely,1.58,2.68,0.5671794107128938,-0.1038565310736278,0.1599591792894448,Jiri Vesely
Brandon Nakashima,Laslo Djere,1.52,2.47,0.5659587043468076,-0.13974276939285246,0.07208200026338529,Laslo Djere
Francisco Cerundolo,Zachary Svajda,1.3,3.5,0.6533134852915053,-0.15069246912104306,0.21340280147973134,Francisco Cerundolo
Marco Cecchinato,Roman Safiullin,9.5,1.06,0.1849292152352067,0.7568275447344637,-0.13602496814931897,Roman Safiullin
Juan Pablo Varillas,Miomir Kecmanovic,4.5,1.19,0.2442406752882073,0.09908303879693281,-0.10064640359296684,Juan Pablo Varillas
Dusan Lajovic,Yibing Wu,2.12,1.86,0.4376120895797628,-0.07226237009090286,0.0460415133816412,Yibing Wu
Jack Draper,Radu Albot,1.25,4.0,0.6769051399561269,-0.15386857505484142,0.29237944017549244,Jack Draper
Stan Wawrinka,Yoshihito Nishioka,1.53,2.45,0.5629398285001694,-0.1387020623947407,0.0707974201745849,Stan Wawrinka
Adrian Mannarino,Fabian Marozsan,1.35,3.25,0.6346355356938277,-0.14324202681333253,0.18743450899505998,Adrian Mannarino
Casper Ruud,Zhizhen Zhang,1.23,4.05,0.6827362809436951,-0.16023437443925503,0.2849180621780347,Zhizhen Zhang
Alejandro Davidovich Fokina,Juan Manuel Cerundolo,1.07,8.0,0.7606452961322352,-0.1861095331385083,0.9148376309421185,Alejandro Davidovich Fokina
Ben Shelton,Dominic Thiem,1.75,2.05,0.4984369409086176,-0.12773535340991915,0.028204271137333814,Ben Shelton
Lorenzo Sonego,Nicolas Moreno De Alboran,1.25,3.85,0.6737046096092194,-0.15786923798847574,0.2562372530045054,Lorenzo Sonego
Carlos Alcaraz,Dominik Koepfer,1.01,36.0,0.801630550839556,-0.19035314365204836,6.141300169775983,Carlos Alcaraz
Gael Monfils,Taro Daniel,1.35,3.2,0.6329633467571799,-0.14549948187780704,0.17451729037702424,Gael Monfils
Jannik Sinner,Yannick Hanfmann,1.03,11.0,0.7805974257427787,-0.19598465148493793,1.4134283168294344,Jannik Sinner
Matteo Berrettini,Ugo Humbert,1.56,2.42,0.5557922919479552,-0.13296402456118983,0.07498265348594835,Matteo Berrettini
Borna Gojo,Hugo Dellien,1.0,36.0,0.8042996460608575,-0.19570035393914254,6.045212741809131,Borna Gojo
Alexandre Muller,Novak Djokovic,17.0,1.0,0.16148007849905,1.74516133448385,-0.16148007849905,Novak Djokovic
Jason Kubler,Matteo Arnaldi,1.93,1.88,0.4592994402393138,-0.11355208033812436,0.016517052350089934,Matteo Arnaldi
Aleksandar Vukic,Alexander Zverev,8.0,1.07,0.1920942800408582,0.5367542403268657,-0.1355408796437183,Alexander Zverev
Karen Khachanov,Michael Mmoh,1.69,2.25,0.5233068104176892,-0.11561149039410523,0.07255967656019924,Michael Mmoh
