player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Ekaterina Alexandrova,Ysaline Bonaventure,1.38,3.05,0.7419044820189321,0.023828185186126172,-0.21280867015774296,Ekaterina Alexandrova
Karolina Muchova,Lesia Tsurenko,1.65,2.23,0.6168967566429796,0.017879648460916275,-0.14567976731384458,Karolina Muchova
Anhelina Kalinina,Coco Vandeweghe,1.36,3.2,0.753847691601717,0.02523286057833518,-0.21231261312549454,Anhelina Kalinina
Kamilla Rakhimova,Kateryna Baindl,1.91,1.91,0.5237237286092226,0.0003123216436149434,-0.09031232164361513,Kateryna Baindl
Cristina Bucsa,Eva Lys,1.02,21.0,0.9134121376316524,-0.06831961961571453,0.8183451097352994,Cristina Bucsa
Bianca Andreescu,Marie Bouzkova,1.02,13.5,0.908067799094758,-0.07377084492334685,0.2410847122207671,Bianca Andreescu
Bernarda Pera,Moyuka Uchijima,1.25,4.1,0.8088327233359857,0.011040904169982158,-0.21621416567754126,Bernarda Pera
Aliaksandra Sasnovich,Brenda Fruhvirtova,1.41,2.85,0.7235853456194967,0.020255337323490386,-0.21221823501556558,Aliaksandra Sasnovich
Kaja Juvan,Selena Janicijevic,1.38,3.05,0.7419044820189321,0.023828185186126172,-0.21280867015774296,Kaja Juvan
Leolia Jeanjean,Nadia Podoroska,1.86,1.95,0.5386411813227834,0.0018725972603770291,-0.10035030357942765,Nadia Podoroska
Anastasia Pavlyuchenkova,Camila Giorgi,2.0,1.86,0.5010964355369144,0.002192871073828817,-0.0720393700986608,Camila Giorgi
Dalma Galfi,Qinwen Zheng,6.75,1.12,0.1533093597929697,0.034838178602545344,-0.051706482968125966,Qinwen Zheng
Elena Rybakina,Elisabetta Cocciaretto,1.36,3.25,0.7560585258659911,0.028239595177747878,-0.20719020906447105,Elena Rybakina
Claire Liu,Madison Brengle,1.64,2.25,0.621289657093713,0.01891503763368929,-0.14790172846085414,Claire Liu
Belinda Bencic,Viktoriya Tomova,1.06,10.5,0.8957023289233894,-0.05055553134120716,0.09512554630441117,Belinda Bencic
Jil Teichmann,Lin Zhu,1.43,2.94,0.7242434670845492,0.035668157930905275,-0.1892757932285748,Lin Zhu
Danielle Collins,Karolina Muchova,1.56,2.5,0.6635802693654914,0.03518522021016657,-0.15895067341372848,Danielle Collins
Coco Gauff,Emma Raducanu,1.35,3.2,0.7562248494892464,0.020903546810482787,-0.21991951836558843,Coco Gauff
Donna Vekic,Oksana Selekhmeteva,1.36,3.75,0.7743727091536797,0.05314688444900462,-0.15389765932629895,Donna Vekic
Karolina Pliskova,Xiyu Wang,1.28,3.6,0.7881806472135479,0.008871228433341205,-0.23745032996877224,Karolina Pliskova
Jaimee Fourlis,Linda Fruhvirtova,11.0,1.05,0.1200553213444843,0.32060853478932727,-0.07605808741170839,Linda Fruhvirtova
Magda Linette,Mayar Sherif,1.28,4.5,0.8103197564257965,0.037209288225019455,-0.14643890391608405,Magda Linette
Patricia Maria Tig,Shuai Zhang,7.0,1.1,0.1465756068632558,0.02602924804279061,-0.0612331675495813,Shuai Zhang
Sorana Cirstea,Yulia Putintseva,1.77,2.05,0.5699297251755532,0.00877561356072909,-0.11835593660988408,Yulia Putintseva
Petra Martic,Viktorija Golubic,1.76,2.12,0.5815589452255758,0.02354374359701339,-0.11290496387822069,Petra Martic
Nadia Podoroska,Victoria Azarenka,8.77,1.07,0.1308903801253098,0.14790863369896678,-0.07005270673408148,Victoria Azarenka
