player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Kimberly Birrell,Leolia Jeanjean,1.8,1.88,0.555655349926741,0.00017962986813380155,-0.1646320578622732,Leolia Jeanjean
Leylah Fernandez,Magda Linette,1.92,1.88,0.5410411559137153,0.038799019354333275,-0.13715737311778475,Leylah Fernandez
Elise Mertens,Viktoria Hruncakova,1.1,7.5,0.821662117780971,-0.09617167044093189,0.3375341166427177,Elise Mertens
Aliaksandra Sasnovich,Clara Tauson,2.1,1.69,0.4957876515468197,0.04115406824832135,-0.14788113111412526,Clara Tauson
Aryna Sabalenka,Marta Kostyuk,1.14,5.7,0.8020485718905471,-0.08566462804477637,0.12832314022388136,Aryna Sabalenka
Karolina Muchova,Maria Sakkari,1.9,1.9,0.5458040937809183,0.0370277781837447,-0.1370277781837449,Karolina Muchova
Kamilla Rakhimova,Sara Bejlek,1.8,2.0,0.5695112143929614,0.02512018590733045,-0.13902242878592275,Kamilla Rakhimova
Nuria Parrizas Diaz,Storm Hunter,1.83,1.98,0.5635217722123876,0.031244843148669377,-0.13577310898052752,Storm Hunter
Jessika Ponchet,Nadia Podoroska,2.14,1.71,0.4950584810410097,0.05942514942776089,-0.13655000258012662,Nadia Podoroska
Qinwen Zheng,Tamara Zidansek,1.22,4.35,0.7694704151414682,-0.06124609352740884,0.0028036941346132327,Qinwen Zheng
Danielle Collins,Jessica Pegula,4.2,1.24,0.3099439121211226,0.3017644309087151,-0.14433045103019204,Jessica Pegula
Madison Brengle,Mayar Sherif,4.1,1.24,0.3120587926069811,0.2794410496886224,-0.1469529028326566,Mayar Sherif
Katie Volynets,Liudmila Samsonova,3.55,1.3,0.3406008559175909,0.20913303850744747,-0.14278111269286808,Liudmila Samsonova
Jelena Ostapenko,Tereza Martincova,1.14,6.0,0.8044943012401555,-0.08287649658622276,0.17303419255906682,Jelena Ostapenko
Alycia Parks,Marketa Vondrousova,8.5,1.07,0.2259791715036152,0.9208229577807292,-0.1717977135088683,Marketa Vondrousova
Karolina Pliskova,Sloane Stephens,1.7,2.1,0.5932476538129396,0.008521011481997354,-0.14582007300717326,Sloane Stephens
Dalma Galfi,Varvara Gracheva,3.25,1.34,0.3598738572049881,0.16959003591621125,-0.142230968654684,Varvara Gracheva
Belinda Bencic,Elina Avanesyan,1.1,7.0,0.8191865256025151,-0.0988948218372333,0.26569432078239386,Elina Avanesyan
Ana Bogdan,Camila Osorio,2.57,1.56,0.437366257240335,0.12403128110766093,-0.12229136129492246,Camila Osorio
Kaia Kanepi,Madison Keys,4.0,1.25,0.3167462057978652,0.2669848231914609,-0.14593275724733146,Madison Keys
Dayana Yastremska,Donna Vekic,2.66,1.52,0.4245808347162734,0.12938502034528732,-0.1253628687687356,Donna Vekic
Anett Kontaveit,Bernarda Pera,1.96,1.83,0.5301702514197411,0.03913369278269241,-0.14021156009812608,Bernarda Pera
Elizabeth Mandlik,Simona Waltert,1.76,2.06,0.5810319439499492,0.022616221351910548,-0.1369258045368953,Simona Waltert
Elisabetta Cocciaretto,Petra Kvitova,2.0,1.79,0.520473632679439,0.04094726535887805,-0.1416478024961958,Elisabetta Cocciaretto
Anna Karolina Schmiedlova,Veronika Kudermetova,7.0,1.1,0.2417079242600177,0.6919554698201238,-0.1658787166860195,Anna Karolina Schmiedlova
Maryna Zanevska,Yulia Putintseva,2.63,1.44,0.4106703055861657,0.08006290369161562,-0.1513652400440786,Yulia Putintseva
Katerina Siniakova,Peyton Stearns,2.75,1.42,0.3997154066600353,0.09921736831509698,-0.1475958774572501,Peyton Stearns
Camila Giorgi,Jessica Pegula,3.1,1.3,0.356377596352056,0.1047705486913737,-0.16329087525767283,Jessica Pegula
Camila Osorio,Elise Mertens,2.14,1.73,0.4980403865696152,0.06580642725897667,-0.13160986876543435,Elise Mertens
Clara Tauson,Leylah Fernandez,1.83,1.95,0.5601469231651159,0.02506886939216213,-0.14228650017197608,Clara Tauson
Bernarda Pera,Donna Vekic,2.25,1.6,0.4676628054631353,0.05224131229205442,-0.1482604887410165,Bernarda Pera
Aryna Sabalenka,Iryna Shymanovich,1.01,17.0,0.8577578296727286,-0.13366459203054404,1.4181168955636134,Aryna Sabalenka
Anna Blinkova,Caroline Garcia,3.0,1.4,0.3832199491812552,0.1496598475437656,-0.13650792885375718,Anna Blinkova
Karolina Muchova,Nadia Podoroska,1.16,4.75,0.7877700095218653,-0.08618678895463638,0.008092454771140067,Karolina Muchova
Kayla Day,Madison Keys,4.8,1.22,0.2943624621458637,0.4129398183001458,-0.1391222038179537,Kayla Day
Daria Kasatkina,Marketa Vondrousova,2.99,1.38,0.3793581879430249,0.13428098194964444,-0.1435142993613744,Daria Kasatkina
Kamilla Rakhimova,Magdalena Frech,2.21,1.67,0.4825981041640687,0.06654181020259164,-0.13593883395399475,Kamilla Rakhimova
Arantxa Rus,Julia Grabher,1.6,2.38,0.6315182340083917,0.010429174413426834,-0.12301339693997226,Julia Grabher
Barbora Krejcikova,Lesia Tsurenko,1.32,3.85,0.7402196709002974,-0.02291003441160744,0.0001542670338550156,Lesia Tsurenko
Danka Kovinic,Linda Noskova,2.11,1.73,0.5008633350250753,0.05682163690290887,-0.13649356959338022,Linda Noskova
Kateryna Baindl,Olga Danilovic,4.3,1.21,0.300468040334599,0.29201257343877574,-0.15356632880486476,Olga Danilovic
Lucia Bronzetti,Ons Jabeur,4.85,1.17,0.2809521542318966,0.3626179480246985,-0.15871402045131922,Ons Jabeur
Fiona Ferro,Rebecca Peterson,2.3,1.62,0.4669640370506581,0.07401728521651352,-0.13648174002206592,Rebecca Peterson
Petra Martic,Shelby Rogers,1.75,2.26,0.6006860502505772,0.05120058793851001,-0.09755047356630453,Petra Martic
Anastasia Pavlyuchenkova,Liudmila Samsonova,3.1,1.35,0.3679887969236497,0.14076527046331422,-0.146784875846927,Anastasia Pavlyuchenkova
Aliona Bolsova,Anna Karolina Schmiedlova,2.1,1.72,0.5003398864040852,0.05071376144857909,-0.14058460461502664,Anna Karolina Schmiedlova
Bianca Andreescu,Victoria Azarenka,2.55,1.5,0.4275360290732024,0.09021687413666601,-0.14130404360980364,Bianca Andreescu
Oceane Dodin,Selena Janicijevic,1.67,2.3,0.6150110270690015,0.027068415205232288,-0.11452536225870347,Oceane Dodin
Cristina Bucsa,Iga Swiatek,26.0,1.01,0.1879029642907506,3.8854770715595155,-0.17978199393365812,Iga Swiatek
Jasmine Paolini,Sorana Cirstea,3.08,1.38,0.3754554324283953,0.15640273187945763,-0.13812849675118555,Jasmine Paolini
Clara Burel,Sara Sorribes Tormo,2.79,1.48,0.409715976186682,0.1431075735608427,-0.12637964475628938,Sara Sorribes Tormo
