player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Cristina Bucsa,Petra Kvitova,4.1,1.25,0.2640459685719686,0.08258847114507128,-0.08005746071496078,Petra Kvitova
Iga Swiatek,Rebecca Peterson,1.02,17.0,0.8565294710185305,-0.1263399395610989,1.4389989926849815,Iga Swiatek
Bernarda Pera,Veronika Kudermetova,3.95,1.21,0.2579973360667522,0.01908947746367118,-0.10217677664077018,Bernarda Pera
Clervie Ngounoue,Daria Saville,3.1,1.46,0.3412531538630702,0.05788477697551775,-0.038229604640082515,Daria Saville
Belinda Bencic,Kamilla Rakhimova,1.12,6.25,0.8066138810048877,-0.0965924532745257,0.20866324371945177,Belinda Bencic
Karolina Muchova,Storm Hunter,1.07,8.5,0.8303523759187275,-0.11152295776696153,0.4420048046908165,Karolina Muchova
Fiona Ferro,Victoria Azarenka,7.5,1.09,0.1886711113408229,0.4150333350561717,-0.11565151136149687,Victoria Azarenka
Jennifer Brady,Kimberly Birrell,1.23,4.05,0.7523294232037767,-0.07463480945935463,0.003065836024704227,Jennifer Brady
Elise Mertens,Mirjam Bjorklund,1.51,2.9,0.65381970869681,-0.012732239867816797,0.003922844779250756,Elise Mertens
Mirra Andreeva,Olivia Gadecki,1.25,4.27,0.752047504377104,-0.059940619528620065,0.058757156309765746,Mirra Andreeva
Kayla Day,Sorana Cirstea,3.85,1.25,0.2700616112739769,0.039737203404810906,-0.0875770140924711,Sorana Cirstea
Jasmine Paolini,Jelena Ostapenko,2.9,1.51,0.3607210653934999,0.04609108964114972,-0.034688808744184896,Jelena Ostapenko
Danielle Collins,Linda Fruhvirtova,1.15,5.5,0.7928608496275088,-0.088210022928365,0.13926532704870165,Danielle Collins
Barbora Strycova,Kaia Kanepi,3.3,1.34,0.3078751525672499,0.01598800347192464,-0.07255270444011475,Kaia Kanepi
Nadia Podoroska,Qinwen Zheng,4.58,1.22,0.2476201393274846,0.13410023811987948,-0.0820965699795313,Qinwen Zheng
Barbora Krejcikova,Lucia Bronzetti,1.19,4.8,0.7748799639210022,-0.07789284293400744,0.08057617317918919,Lucia Bronzetti
Anastasia Pavlyuchenkova,Fiona Crawley,1.34,3.7,0.7186939433733367,-0.03695011587972874,0.0408324095186543,Anastasia Pavlyuchenkova
Donna Vekic,Sachia Vickery,1.3,3.8,0.7302358356595926,-0.05069341364252955,0.025103824493547977,Sachia Vickery
Aryna Sabalenka,Maryna Zanevska,1.02,12.0,0.8508189205407696,-0.13216470104841505,0.7901729535107651,Aryna Sabalenka
Karolina Muchova,Magdalena Frech,1.1,7.5,0.818972733898619,-0.09912999271151901,0.35770449576035723,Karolina Muchova
Daria Saville,Iga Swiatek,17.0,1.02,0.1517800782293283,1.580261329898581,-0.13481567979391484,Iga Swiatek
Arantxa Rus,Madison Keys,5.4,1.15,0.2194701742261415,0.18513894082116433,-0.10239070036006293,Madison Keys
Ashlyn Krueger,Marie Bouzkova,3.3,1.33,0.3056492887732945,0.008642652951871721,-0.07651355406848159,Marie Bouzkova
Claire Liu,Liudmila Samsonova,4.8,1.18,0.2345856752447805,0.12601124117494633,-0.09681109678884103,Liudmila Samsonova
Camila Giorgi,Jessica Pegula,4.4,1.2,0.2461048443791199,0.08286131526812768,-0.09532581325494383,Jessica Pegula
Alycia Parks,Daria Kasatkina,5.15,1.13,0.2175466109263066,0.12036504627047906,-0.11582767034672647,Daria Kasatkina
Marketa Vondrousova,Na Lae Han,1.02,13.7,0.8532507211778749,-0.1296842643985675,1.0104651198631136,Marketa Vondrousova
Elsa Jacquemot,Lesia Tsurenko,3.55,1.3,0.2902196104162881,0.030279616977822554,-0.07728549354117442,Lesia Tsurenko
Patricia Maria Tig,Rebecca Marino,6.25,1.11,0.2016386750471901,0.2602417190449382,-0.11381892930238091,Patricia Maria Tig
Lin Zhu,Victoria Azarenka,3.5,1.3,0.291830864636166,0.021408026226581,-0.07938012402701577,Lin Zhu
