player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Nadia Podoroska,Tereza Martincova,3.35,1.41,0.3510447899024493,0.1760000461732052,-0.08497315376245362,Nadia Podoroska
Jil Teichmann,Magda Linette,2.3,1.75,0.4863972664544808,0.11871371284530574,-0.10119521629534134,Magda Linette
Claire Liu,Lesia Tsurenko,3.4,1.39,0.3441815255847678,0.1702171869882103,-0.08841232056282733,Lesia Tsurenko
Iga Swiatek,Lin Zhu,1.04,13.0,0.8838584702095879,-0.08078719098202858,0.509839887275358,Iga Swiatek
Cristina Bucsa,Kamilla Rakhimova,1.71,2.38,0.6367215853702277,0.08879391098308931,-0.13539737318114198,Cristina Bucsa
Ana Bogdan,Liudmila Samsonova,3.25,1.33,0.334735984854985,0.08789195077870127,-0.11519885985713008,Ana Bogdan
Barbora Strycova,Maryna Zanevska,1.61,2.32,0.6478324632676021,0.04301026586083956,-0.18297131478083706,Barbora Strycova
Kaia Kanepi,Veronika Kudermetova,10.0,1.1,0.1933435854484171,0.933435854484171,-0.11267794399325881,Veronika Kudermetova
Linda Fruhvirtova,Petra Martic,2.4,1.53,0.4343208116615664,0.04236994798775928,-0.13451084184219664,Petra Martic
Diane Parry,Harriet Dart,3.35,1.39,0.3461319335842048,0.1595419775070861,-0.09112338768204475,Diane Parry
Elina Svitolina,Venus Williams,1.49,2.63,0.6932965235756046,0.033011820127650804,-0.19336985700384002,Elina Svitolina
Kateryna Baindl,Leylah Fernandez,4.2,1.22,0.2754021153431482,0.15668888444122242,-0.11599058071864077,Leylah Fernandez
Martina Trevisan,Sara Sorribes Tormo,3.4,1.3,0.3207529481874857,0.09056002383745132,-0.11697883264373132,Sara Sorribes Tormo
Mayar Sherif,Rebeka Masarova,1.96,1.93,0.5515234312262824,0.08098592520351366,-0.13444022226672514,Rebeka Masarova
Katerina Siniakova,Qinwen Zheng,2.0,1.83,0.5316425420849771,0.06328508416995415,-0.14290585201550798,Katerina Siniakova
Belinda Bencic,Katie Swan,1.48,2.98,0.7148736271719326,0.058012968214460114,-0.15032340897235907,Belinda Bencic
Caty McNally,Jodie Burrage,1.38,2.96,0.7331400316746216,0.011733243710977836,-0.21009449375687994,Jodie Burrage
Caroline Dolehide,Daria Kasatkina,6.0,1.13,0.2233571689103619,0.34014301346217124,-0.1223936008687091,Daria Kasatkina
Mirra Andreeva,Xiyu Wang,1.57,2.35,0.6575283017296792,0.032319433715596535,-0.19519150906474614,Mirra Andreeva
Beatriz Haddad Maia,Yulia Putintseva,1.32,3.45,0.7644247195966389,0.009040629867563377,-0.18726528260840425,Beatriz Haddad Maia
Anhelina Kalinina,Jessica Bouzas Maneiro,1.28,3.8,0.7824895335311163,0.0015866029198288167,-0.17346022741824185,Anhelina Kalinina
Anna Blinkova,Yanina Wickmayer,2.05,1.8,0.5208522784141396,0.06774717074898606,-0.13753410114545128,Anna Blinkova
Greet Minnen,Jelena Ostapenko,4.1,1.24,0.2833430105655805,0.1617063433188799,-0.11134533310131989,Jelena Ostapenko
Aryna Sabalenka,Panna Udvardy,1.03,12.5,0.8850670596316168,-0.08838092857943469,0.43666175460478995,Aryna Sabalenka
Jule Niemeier,Karolina Muchova,3.65,1.29,0.3094789421105245,0.1295981387034144,-0.10922783532257663,Jule Niemeier
Anna Bondar,Bianca Andreescu,4.9,1.23,0.2650044974501183,0.2985220375055797,-0.09595553186364547,Bianca Andreescu
Diane Parry,Petra Martic,2.95,1.4,0.3668798209163698,0.08229547170329088,-0.11363174928291764,Petra Martic
Iga Swiatek,Sara Sorribes Tormo,1.03,11.5,0.8835581838894074,-0.08993507059391037,0.33908088527181457,Iga Swiatek
Marketa Vondrousova,Veronika Kudermetova,2.05,1.71,0.5053657021814402,0.03599968947195231,-0.15417535073026267,Marketa Vondrousova
Jaqueline Cristian,Lucia Bronzetti,3.7,1.29,0.3079258181905044,0.13932552730486636,-0.10722430546575068,Jaqueline Cristian
Dalma Galfi,Linda Noskova,2.97,1.37,0.3581792078008895,0.06379224716864185,-0.12070551468721857,Dalma Galfi
Cristina Bucsa,Jessica Pegula,5.75,1.15,0.2315938846924317,0.3316648369814823,-0.1163329673962965,Jessica Pegula
Caroline Garcia,Leylah Fernandez,1.36,3.15,0.7455019728661983,0.013882683098029869,-0.19833121452852487,Caroline Garcia
