tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date,player_1_clean,player_2_clean,market_id,market_time,odds_player_1,odds_player_2,player_1,player_2,actual_winner
2023-540,Wimbledon,Grass,128,G,2023-07-03,101,124186,,,Alexandre Muller,R,183.0,FRA,26.4,126239,,,Arthur Rinderknech,R,196.0,FRA,27.9,7-6(5) 1-6 6-3 6-4,5,R128,155.0,6.0,7.0,141.0,93.0,58.0,24.0,20.0,13.0,18.0,15.0,4.0,107.0,73.0,52.0,18.0,19.0,3.0,8.0,84.0,711.0,82.0,722.0,2023-07-03,alexandre muller,arthur rinderknech,1.215668138,2023-07-05 16:14:53.364,1.05,22.0,Alexandre Muller,Arthur Rinderknech,Alexandre Muller
2023-540,Wimbledon,Grass,128,G,2023-07-03,102,106186,,,Jason Kubler,R,178.0,AUS,30.1,200005,,,Ugo Humbert,L,188.0,FRA,25.0,6-4 4-6 6-2 3-6 6-3,5,R128,222.0,11.0,5.0,157.0,104.0,69.0,26.0,23.0,10.0,14.0,24.0,5.0,135.0,77.0,59.0,24.0,23.0,4.0,10.0,77.0,742.0,39.0,1042.0,2023-07-03,jason kubler,ugo humbert,1.21567593,2023-07-06 14:18:19.689,1.11,2.74,Jason Kubler,Ugo Humbert,Jason Kubler
2023-540,Wimbledon,Grass,128,G,2023-07-03,103,111797,25.0,,Nicolas Jarry,R,201.0,CHI,27.7,106065,,,Marco Cecchinato,R,185.0,ITA,30.7,4-6 6-2 6-4 6-1,5,R128,142.0,14.0,1.0,85.0,60.0,52.0,13.0,17.0,0.0,1.0,8.0,8.0,134.0,85.0,53.0,22.0,18.0,11.0,17.0,28.0,1336.0,89.0,673.0,2023-07-03,nicolas jarry,marco cecchinato,1.215661349,2023-07-06 12:52:18.892,1.14,8.0,Nicolas Jarry,Marco Cecchinato,Nicolas Jarry
2023-540,Wimbledon,Grass,128,G,2023-07-03,104,100644,19.0,,Alexander Zverev,R,198.0,GER,26.2,133835,,Q,Gijs Brouwer,L,191.0,NED,27.3,6-4 7-6(4) 7-6(5),5,R128,135.0,20.0,3.0,111.0,76.0,60.0,22.0,19.0,4.0,4.0,7.0,3.0,109.0,74.0,56.0,20.0,17.0,1.0,2.0,21.0,1630.0,153.0,383.0,2023-07-03,alexander zverev,gijs brouwer,1.215668196,2023-07-06 14:23:58.759,1.11,100.0,Alexander Zverev,Gijs Brouwer,Alexander Zverev
2023-540,Wimbledon,Grass,128,G,2023-07-03,105,133297,,LL,Yosuke Watanuki,R,180.0,JPN,25.2,144817,,,Marc Andrea Huesler,L,196.0,SUI,27.0,6-7(5) 5-7 7-6(5) 7-6(3) 6-3,5,R128,239.0,22.0,8.0,194.0,126.0,99.0,37.0,31.0,5.0,7.0,30.0,7.0,173.0,104.0,88.0,35.0,29.0,2.0,4.0,116.0,547.0,81.0,726.0,2023-07-03,yosuke watanuki,marc andrea huesler,1.2156739,2023-07-06 12:07:28.593,1.83,1.48,Yosuke Watanuki,Marc Andrea Huesler,Yosuke Watanuki
2023-540,Wimbledon,Grass,128,G,2023-07-03,106,126610,,,Matteo Berrettini,R,196.0,ITA,27.2,132283,,,Lorenzo Sonego,R,191.0,ITA,28.1,6-7(5) 6-3 7-6(7) 6-3,5,R128,201.0,17.0,1.0,134.0,83.0,70.0,32.0,22.0,2.0,2.0,8.0,3.0,117.0,85.0,68.0,20.0,22.0,4.0,6.0,38.0,1082.0,42.0,1015.0,2023-07-03,matteo berrettini,lorenzo sonego,1.215655059,2023-07-06 13:47:16.127,1.02,50.0,Matteo Berrettini,Lorenzo Sonego,Matteo Berrettini
2023-540,Wimbledon,Grass,128,G,2023-07-03,107,200282,15.0,,Alex De Minaur,R,183.0,AUS,24.3,106293,,Q,Kimmer Coppejans,R,178.0,BEL,29.3,6-7(5) 6-3 6-3 7-6(2),5,R128,204.0,14.0,3.0,124.0,67.0,51.0,38.0,22.0,3.0,6.0,4.0,2.0,184.0,128.0,78.0,26.0,22.0,16.0,22.0,17.0,2115.0,188.0,309.0,2023-07-03,alex de minaur,kimmer coppejans,1.215672253,2023-07-06 13:36:49.021,1.01,70.0,Alex De Minaur,Kimmer Coppejans,Alex De Minaur
2023-540,Wimbledon,Grass,128,G,2023-07-03,108,126207,10.0,,Frances Tiafoe,R,188.0,USA,25.4,200059,,,Yibing Wu,R,183.0,CHN,23.7,7-6(4) 6-3 6-4,5,R128,150.0,14.0,4.0,117.0,73.0,48.0,24.0,17.0,7.0,11.0,9.0,1.0,108.0,69.0,45.0,13.0,15.0,5.0,11.0,10.0,3085.0,62.0,814.0,2023-07-03,frances tiafoe,yibing wu,1.215655056,2023-07-05 15:56:15.183,1.23,500.0,Frances Tiafoe,Yibing Wu,Frances Tiafoe
2023-540,Wimbledon,Grass,128,G,2023-07-03,109,208502,,Q,Dominic Stricker,L,183.0,SUI,20.8,200615,,,Alexei Popyrin,R,196.0,AUS,23.9,3-6 6-3 6-2 4-6 7-5,5,R128,189.0,17.0,6.0,144.0,86.0,68.0,30.0,24.0,10.0,14.0,25.0,5.0,158.0,90.0,68.0,27.0,24.0,9.0,15.0,117.0,535.0,93.0,645.0,2023-07-03,dominic stricker,alexei popyrin,1.215660257,2023-07-05 16:31:12.768,1.03,100.0,Dominic Stricker,Alexei Popyrin,Dominic Stricker
2023-540,Wimbledon,Grass,128,G,2023-07-03,110,125802,,,Ilya Ivashka,R,193.0,BLR,29.3,105948,,,Federico Coria,R,180.0,ARG,31.3,4-6 6-4 6-3 6-0,5,R128,143.0,7.0,2.0,111.0,72.0,55.0,25.0,18.0,8.0,9.0,1.0,1.0,101.0,64.0,40.0,19.0,17.0,7.0,12.0,102.0,607.0,104.0,592.0,2023-07-03,ilya ivashka,federico coria,1.215663921,2023-07-05 16:42:55.765,1.11,10.5,Ilya Ivashka,Federico Coria,Ilya Ivashka
