market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.215654813,Harriet Dart,Diane Parry,1.57,1.3,Diane Parry,Diane Parry,Harriet Dart,2023-07-03,harriet dart,diane parry,8595916,12737413,1.57,1.3
1.215655521,Shuai Zhang,Donna Vekic,8.0,1.15,Donna Vekic,Donna Vekic,Shuai Zhang,2023-07-03,shuai zhang,donna vekic,2386498,6603944,8.0,1.15
1.215655549,Anastasia Potapova,Celine Naef,1.21,5.7,Anastasia Potapova,Anastasia Potapova,Celine Naef,2023-07-03,anastasia potapova,celine naef,10554735,55928813,1.21,5.7
1.21565555,Belinda Bencic,Katie Swan,1.37,130.0,Belinda Bencic,Belinda Bencic,Katie Swan,2023-07-03,belinda bencic,katie swan,6390244,9607742,1.37,130.0
1.215655849,Tereza Martincova,Nadia Podoroska,12.0,1.09,Nadia Podoroska,Nadia Podoroska,Tereza Martincova,2023-07-03,tereza martincova,nadia podoroska,7335514,9042349,12.0,1.09
1.215656157,Kaia Kanepi,Veronika Kudermetova,21.0,1.04,Veronika Kudermetova,Veronika Kudermetova,Kaia Kanepi,2023-07-03,kaia kanepi,veronika kudermetova,2250864,8279497,21.0,1.04
1.21565619,Yulia Putintseva,Beatriz Haddad Maia,17.5,1.03,Beatriz Haddad Maia,Beatriz Haddad Maia,Yulia Putintseva,2023-07-03,yulia putintseva,beatriz haddad maia,4259580,7083752,17.5,1.03
1.215656834,Carol Zhao,Tamara Korpatsch,1.98,2.02,Tamara Korpatsch,Tamara Korpatsch,Carol Zhao,2023-07-03,carol zhao,tamara korpatsch,7550871,9166525,1.98,2.02
1.215657518,Sofia Kenin,Cori Gauff,3.95,21.0,Sofia Kenin,Sofia Kenin,Coco Gauff,2023-07-03,sofia kenin,cori gauff,9149629,19249131,3.95,21.0
1.215657557,Lauren Davis,Jessica Pegula,110.0,1.01,Jessica Pegula,Jessica Pegula,Lauren Davis,2023-07-03,lauren davis,jessica pegula,4176991,6215852,110.0,1.01
1.215658439,Ons Jabeur,Magdalena Frech,1.01,1000.0,Ons Jabeur,Ons Jabeur,Magdalena Frech,2023-07-03,ons jabeur,magdalena frech,6161111,8444351,1.01,1000.0
1.21565844,Madison Keys,Sonay Kartal,1.19,55.0,Madison Keys,Madison Keys,Sonay Kartal,2023-07-03,madison keys,sonay kartal,3800907,26309908,1.19,55.0
1.215658974,Elisabetta Cocciaretto,Maria Camila Osorio Serrano,2.84,1.54,Elisabetta Cocciaretto,Elisabetta Cocciaretto,Camila Osorio,2023-07-03,elisabetta cocciaretto,maria camila osorio serrano,18848114,23677835,2.84,1.54
