market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2
1.230219849,Viktorija Golubic,Jule Niemeier,2.22,1.82,587b450cd0,,,,,7283232,11173943
1.230219852,Constant Lestienne,Lorenzo Musetti,9.0,1.14,ddb31b6fa6,Lorenzo Musetti,Lorenzo Musetti,Constant Lestienne,2024-07-01,7797931,13834991
1.230219853,Radu Albot,Hubert Hurkacz,200.0,1.05,8cf7ec7b7a,Hubert Hurkacz,Hubert Hurkacz,Radu Albot,2024-07-01,6603898,19924838
1.230220007,Gael Monfils,Adrian Mannarino,1.62,2.68,d400f2606c,Gael Monfils,Gael Monfils,Adrian Mannarino,2024-07-01,2257300,3066621
1.230220014,Roberto Carballes Baena,Alexander Zverev,40.0,1.03,4e139ec591,Alexander Zverev,Alexander Zverev,Roberto Carballes Baena,2024-07-01,7185192,19924823
1.230220292,Lulu Sun,Qinwen Zheng,1.11,22.0,68c89f498f,,,,,17311444,18848380
1.23022039,Danielle Collins,Clara Tauson,1.03,50.0,de8d0e1dfa,,,,,9626845,18848679
1.230220485,Yannick Hanfmann,Jannik Sinner,55.0,1.02,73e3f0a09a,Jannik Sinner,Jannik Sinner,Yannick Hanfmann,2024-07-01,8639275,10372253
1.230220817,Karen Khachanov,Aslan Karatsev,1.01,990.0,bce091aa3a,Karen Khachanov,Karen Khachanov,Aslan Karatsev,2024-07-01,7659623,7659748
1.230220867,Carlos Alcaraz,Mark Lajal,1.01,65.0,cda7a26ee5,Carlos Alcaraz,Carlos Alcaraz,Mark Lajal,2024-07-01,25215583,40594116
1.230221348,Nadia Podoroska,Dayana Yastremska,3.1,1.48,3081907aa6,,,,,9042349,9634670
1.230221699,Thiago Seyboth Wild,Paul Jubb,2.4,17.5,b3f362a523,Thiago Seyboth Wild,Thiago Seyboth Wild,Paul Jubb,2024-07-01,9632015,12085604
1.230221859,Shuai Zhang,Daria Kasatkina,26.0,1.03,07759fc7e2,,,,,2386498,7795290
1.230221892,Thanasi Kokkinakis,Felix Auger-Aliassime,5.7,1.18,a1817a71d3,Thanasi Kokkinakis,Thanasi Kokkinakis,Felix Auger Aliassime,2024-07-01,8172416,12210252
1.230222235,Greet Minnen,Heather Watson,1.66,2.42,b753c6cba0,,,,,10108736,51567149
1.230222664,Arthur Rinderknech,Kei Nishikori,1.47,100.0,faed31289b,Arthur Rinderknech,Arthur Rinderknech,Kei Nishikori,2024-07-01,9953233,19924834
1.230222676,Cristian Garin,Juncheng Shang,55.0,2.0,5113ff8dd8,Juncheng Shang,Juncheng Shang,Cristian Garin,2024-07-01,23814703,38901959
1.230222799,Lauren Davis,Camila Osorio,2.54,1.64,e818ab6928,,,,,4176991,11024005
1.230222847,Tatjana Maria,Katie Boulter,30.0,1.02,c8d06b39a6,,,,,7299657,8619018
1.230223337,Peyton Stearns,Daria Saville,1.76,1.01,a38ceedb60,,,,,13835088,42231870
1.230223666,Olivia Gadecki,Robin Montgomery,36.0,1.58,0d3d7ba025,,,,,11861440,24143439
1.230223824,Harriet Dart,Zhuoxuan Bai,1.59,2.7,48725ffc86,,,,,8595916,25078969
1.230223975,Bernarda Pera,Anastasia Potapova,1.11,10.0,498f6ff238,,,,,8784983,10554735
1.230224057,Sorana Cirstea,Sonay Kartal,1.84,2.18,3b22308677,,,,,2387871,26309908
1.23022422,Sara Errani,Linda Noskova,5.4,1.24,43ec42ba8b,,,,,2309567,22088831
1.230224259,Tommy Paul,Pedro Martinez,1.06,20.0,79fdf018c9,Tommy Paul,Tommy Paul,Pedro Martinez,2024-07-01,8859306,13181195
1.230224718,Roberto Bautista Agut,Maximilian Marterer,1.02,50.0,26200e33fd,Roberto Bautista Agut,Roberto Bautista Agut,Maximilian Marterer,2024-07-01,4290403,7335940
1.230224879,Jaume Munar,Billy Harris,1.02,50.0,c535698653,Jaume Munar,Jaume Munar,Billy Harris,2024-07-01,9350385,9632777
1.2302249,Sofia Kenin,Iga Swiatek,16.5,1.06,8cef945e18,,,,,9149629,12085633
1.23022502,Paula Badosa,Karolina Muchova,1.01,100.0,f850b5911d,,,,,7412588,9632758
1.23022543,Victoria Azarenka,Sloane Stephens,2.66,1.58,56aded8082,,,,,2263640,2923342
1.230225466,Arantxa Rus,Yue Yuan,1.04,26.0,7aef7f0f62,,,,,2451050,9634353
1.230225587,Sebastian Baez,Brandon Nakashima,6.4,1.2,dec193fae8,Brandon Nakashima,Brandon Nakashima,Sebastian Baez,2024-07-01,11285506,17806048
1.230225796,Maxime Janvier,Zhizhen Zhang,5.4,1.22,e498a496de,Zhizhen Zhang,Zhizhen Zhang,Maxime Janvier,2024-07-01,8257852,9628959
1.230226049,Anna Kalinskaya,Panna Udvardy,1.15,8.2,44356746bb,,,,,8907174,11174011
1.230226233,Caroline Dolehide,Coco Gauff,18.0,1.06,a8cd2edc71,,,,,9202281,27552403
1.230226657,Jan-Lennard Struff,Fabian Marozsan,1.26,4.8,3cecb3c238,Jan Lennard Struff,Jan Lennard Struff,Fabian Marozsan,2024-07-01,8259098,11942150
1.230226675,Rebecca Sramkova,Marta Kostyuk,5.4,1.23,82cf516eb3,,,,,9151665,11694656
1.23022679,Beatriz Haddad Maia,Magdalena Frech,1.6,2.64,1c0f6203c5,,,,,7083752,8444351
1.230227162,Alexander Bublik,Jakub Mensik,1.47,3.2,fba6155cae,Alexander Bublik,Alexander Bublik,Jakub Mensik,2024-07-01,8907933,39835947
1.230227187,Karolina Pliskova,Diana Shnaider,5.3,1.23,3d2e4a4dc3,,,,,6199453,41341015
1.230227361,Jessica Pegula,Ashlyn Krueger,1.2,6.0,afb1a6fa14,,,,,6215852,24143371
1.230227599,Facundo Diaz Acosta,Cameron Norrie,12.0,1.09,46f7fce18d,Cameron Norrie,Cameron Norrie,Facundo Diaz Acosta,2024-07-01,14833204,42669524
1.23022773,Charles Broom,Stan Wawrinka,2.44,1.68,f2b0dba231,Stan Wawrinka,Stan Wawrinka,Charles Broom,2024-07-01,10109487,19924832
1.230227826,Veronika Kudermetova,Barbora Krejcikova,50.0,1.02,91a368abf8,,,,,8279497,8784972
1.230227935,Taylor Townsend,Anastasia Pavlyuchenkova,2.86,1.54,5725f3df1a,,,,,7066166,11057836
1.230228631,Alexandre Muller,Hugo Gaston,1.21,13.5,f07666deae,Alexandre Muller,Alexandre Muller,Hugo Gaston,2024-07-01,9630445,10303696
1.230228705,Alex Bolt,Casper Ruud,210.0,1.01,64aaede2ee,Casper Ruud,Casper Ruud,Alex Bolt,2024-07-01,7283330,9629711
1.230228763,Rebeka Masarova,Liudmila Samsonova,5.8,1.21,055801e45e,,,,,10372262,21067365
