date,num_markets,unique_runners
2023-06-12,323,636
2023-06-27,322,604
2023-05-30,301,596
2023-04-26,298,580
2023-04-17,293,571
2023-04-19,288,567
2023-06-13,287,562
2023-04-18,283,559
2023-04-25,282,555
2023-05-29,276,550
2023-05-23,278,545
2023-05-31,276,543
2023-05-02,272,537
2023-05-22,270,534
2023-06-11,265,526
2023-05-10,264,523
2023-06-18,271,523
2023-04-24,277,517
2023-04-16,258,510
2023-06-28,257,509
2023-04-27,256,498
2023-05-28,242,482
2023-06-14,245,480
2023-05-09,240,476
2023-06-06,237,471
2023-05-03,239,470
2023-05-16,240,469
2023-06-26,239,466
2023-06-19,237,465
2023-06-20,265,464
2023-04-05,234,459
2023-05-24,231,455
2023-06-07,230,451
2023-05-01,224,439
2023-04-03,217,424
2023-04-02,213,423
2023-04-04,212,417
2023-05-08,210,411
2023-05-11,204,406
2023-05-17,203,400
2023-04-10,205,392
2023-06-01,195,388
2023-04-12,198,386
2023-05-15,197,382
2023-06-05,196,379
2023-04-20,189,371
2023-05-26,194,371
2023-04-11,187,367
2023-06-08,185,363
2023-05-04,183,362
2023-04-28,179,356
2023-04-30,178,353
2023-04-06,185,353
2023-06-21,179,351
2023-06-15,170,340
2023-05-27,172,339
2023-04-09,168,329
2023-06-29,160,319
2023-04-13,163,317
2023-06-04,154,306
2023-05-25,161,305
2023-04-23,149,294
2023-05-14,149,293
2023-05-12,148,291
2023-06-22,145,278
2023-06-10,141,276
2023-05-21,137,272
2023-06-17,141,270
2023-05-18,134,264
2023-06-09,133,259
2023-06-02,129,258
2023-04-01,128,253
2023-05-07,125,247
2023-04-21,119,237
2023-04-29,119,237
2023-06-16,119,235
2023-04-07,121,235
2023-04-14,117,229
2023-04-15,121,226
2023-05-05,108,216
2023-06-25,107,207
2023-05-13,103,202
2023-04-08,105,199
2023-05-20,101,199
2023-06-23,102,190
2023-06-24,89,170
2023-06-03,84,167
2023-04-22,83,165
2023-05-19,78,156
2023-05-06,73,142
2023-06-30,70,139
2022-06-21,7,14
2023-03-31,5,10
2023-03-30,2,4
2023-07-01,2,4
2022-11-12,1,3
2022-11-13,1,2
2021-02-23,1,2
2022-05-02,1,2
