date,num_markets,unique_runners
2023-01-18,310,601
2023-01-02,282,554
2023-01-11,277,544
2023-03-08,270,528
2023-01-03,276,519
2023-02-21,255,506
2023-02-22,258,504
2023-03-22,254,502
2023-02-28,254,489
2023-02-20,254,487
2023-02-19,247,486
2023-03-09,248,478
2023-02-27,240,475
2023-01-10,239,472
2023-01-16,234,467
2023-01-04,231,450
2023-02-12,231,447
2023-02-15,225,445
2023-01-09,225,443
2023-03-29,221,439
2023-03-23,221,433
2023-03-07,229,430
2023-02-14,217,428
2023-03-21,218,428
2023-01-30,214,424
2023-01-01,215,422
2023-01-19,212,422
2023-02-06,213,421
2023-02-05,215,419
2023-01-17,213,416
2023-01-31,210,415
2023-02-26,219,414
2023-02-07,211,414
2023-03-01,214,411
2023-03-28,205,406
2023-02-13,205,405
2023-01-25,205,402
2023-01-12,210,400
2023-03-27,207,396
2023-01-08,195,381
2023-02-01,190,369
2023-03-15,191,369
2023-02-08,187,368
2023-02-23,186,364
2023-03-10,185,363
2023-03-06,170,341
2023-01-29,177,337
2023-03-14,173,336
2023-01-24,168,331
2023-03-02,170,328
2023-02-02,167,320
2023-03-19,164,319
2023-01-23,160,319
2023-03-30,157,310
2023-01-05,160,309
2023-02-16,155,308
2023-03-20,155,308
2023-03-26,152,301
2023-02-11,155,293
2023-02-09,141,278
2023-03-12,142,276
2023-03-11,139,276
2023-01-26,138,275
2023-01-07,141,272
2023-03-24,137,271
2023-01-20,137,270
2023-03-16,136,266
2023-02-18,136,257
2023-02-25,132,257
2023-02-24,130,249
2023-03-13,125,248
2023-01-15,121,238
2023-02-17,119,235
2023-02-03,119,230
2023-01-28,115,228
2023-03-05,115,222
2023-03-31,113,219
2023-02-04,112,218
2023-01-22,112,217
2023-01-13,115,217
2023-03-03,112,217
2023-01-06,109,211
2023-02-10,102,200
2023-01-27,94,188
2023-01-21,95,185
2023-03-25,90,179
2023-03-17,90,172
2023-03-04,77,149
2023-01-14,64,128
2023-03-18,62,121
2022-12-31,27,54
2018-03-24,3,6
2023-04-01,2,4
2022-02-01,1,2
2022-12-29,1,2
