market_id,selection_id,ltp
1.208566268,7795290,55.0
1.208566268,10942984,1.01
1.208566276,8595916,2.66
1.208566276,9247812,1.61
1.20856628,9002331,1.01
1.20856628,9634353,1000.0
1.208566284,13578400,2.2
1.208566284,50836638,100.0
1.208566288,3444552,100.0
1.208566288,8714569,2.26
1.208566292,2263640,1.59
1.208566292,9149629,2.58
1.208566296,3800907,1.01
1.208566296,9635244,50.0
1.2085663,6215852,1.05
1.2085663,9627961,21.0
1.208566304,11636088,38.0
1.208566304,11694656,1.03
1.208566308,7137442,100.0
1.208566308,27552403,1.01
1.208566312,2497008,1.3
1.208566312,5548385,4.9
1.208566316,9166525,6.0
1.208566316,18849246,1.2
1.20856632,13074045,4.1
1.208566324,8827537,1.48
1.208566324,9634670,3.15
1.208566328,11144238,1.75
1.208566328,42315957,1.01
1.208566336,9304691,8.8
1.208566336,18848380,1.14
1.20856634,3875013,990.0
1.20856634,9304685,3.35
1.208566344,10349398,1.29
1.208566344,18848114,3.7
1.208566348,8907174,34.0
1.208566348,9626845,1.01
1.208566352,11174011,3.25
1.208566356,11173943,190.0
1.208566356,12085633,1.01
1.20856636,8442764,21.0
1.20856636,10141729,1.01
1.208566364,6596301,260.0
1.208566364,9002334,2.0
1.208566368,7335514,11.0
1.208566368,9628840,1.1
1.208566372,2263692,2.3
1.208566372,11987709,1.77
1.208566376,7066166,1.61
1.20856638,5300737,1.1
1.208566384,7083215,1.23
1.208566384,9028621,5.4
1.208566388,4176991,1.13
1.208566388,7414059,8.8
1.208566396,4829328,2.18
1.208566396,9631351,1.86
1.2085664,2346703,1.01
1.2085664,7283232,100.0
1.208566404,6390243,3.45
1.208566408,6199453,1.28
1.208566408,11352357,990.0
1.208566412,2386498,1.14
1.208566412,8679189,8.2
1.208566416,6390239,6.6
1.208566416,8279497,1.18
1.20856642,2387871,30.0
1.20856642,4259580,1.01
1.208566424,9433253,1.01
1.208566424,46252652,50.0
1.208566428,8944356,5.6
1.208566428,21067365,1.23
1.208566432,6161111,1.19
1.208566432,9631543,210.0
1.208566436,2250864,1.19
1.208566436,8183109,6.0
1.20856644,2923342,16.5
1.20856644,10554735,1.01
1.208566444,9635179,60.0
1.208566444,22108509,1.01
1.208566448,2263603,2.42
1.208566448,9633041,1.47
1.208566452,2263701,2.1
1.208566452,5619012,2.0
1.208566456,7083752,95.0
1.208566456,9364864,1.01
1.20856646,4597116,17.5
1.20856646,6390244,1.07
1.208566495,2249229,1.03
1.208566495,7185192,34.0
1.208566501,2319544,190.0
1.208566501,8172416,1.2
1.208566507,2256509,1.01
1.208566507,8962036,1000.0
1.208566513,5720747,4.2
1.208566513,7797771,1.32
1.208567542,27752969,13.5
1.208567542,42669524,1.08
1.208567548,19924841,1000.0
1.208567548,35727604,1.01
1.208567554,5479878,1.1
1.208567554,8461316,100.0
1.20856756,4827766,1.16
1.20856756,8326752,4.1
1.208567566,8621877,5.1
1.208567566,11510005,1.25
1.208567572,8942164,2.98
1.208567572,11881072,1.5
1.208567578,4415206,2.28
1.208567578,9631939,1.78
1.208567584,5626817,19.0
1.208567584,10372253,1.04
1.20856759,4688724,9.0
1.20856759,19924829,1.13
1.208567596,2304933,1.15
1.208567596,8860646,8.6
1.208567602,8907933,120.0
1.208567602,10901351,1.01
1.208567608,4903598,12.5
1.208567608,12210252,1.07
1.208567614,9628959,3.1
1.208567614,39460566,1.49
1.20856762,4448756,1.36
1.20856762,11285506,3.65
1.208567626,2249399,200.0
1.208567626,9633253,2.12
1.208567639,10706479,1.18
1.208567639,24432271,6.4
1.2085677,7659623,1.07
1.2085677,9630472,21.0
1.208567706,2474763,1.39
1.208567706,3066621,2.2
1.208567721,4290403,1.04
1.208567757,3509265,50.0
1.208567757,39127965,1.2
1.208567763,7569897,2.82
1.208567763,17806048,1.49
1.208567769,4520808,7.6
1.208567775,8842295,30.0
1.208567775,9631399,1.05
1.208567781,7797931,2.2
1.208567781,8326656,1.86
1.208567787,8230256,23.0
1.208567787,19924831,1.04
1.208567793,7445660,1.01
1.208567793,16149526,21.0
1.208567799,7137497,2.24
1.208567799,8679651,1.8
1.208567805,9629711,1.21
1.208567805,16149495,190.0
1.208567811,3120169,1.42
1.208567811,7659748,3.35
1.208567817,11313212,1.01
1.208567817,13834991,1.38
1.208567823,8960879,1.01
1.208567823,19924832,11.5
1.208567829,8257807,23.0
1.208567829,10279360,1.04
1.208567841,11204210,1.19
1.208567847,8842291,1.01
1.208567847,9633377,21.0
1.208567853,7287690,65.0
1.208567853,9193006,1.01
1.208567859,8826925,1.32
1.208567859,9633043,4.1
1.208567865,10902223,1.09
1.208567865,23814703,11.0
1.208567871,13181195,21.0
1.208567871,19924838,1.05
1.208567877,9632088,12.5
1.208567877,19924839,1.1
1.208567889,19924837,75.0
1.208567889,40921814,1.01
1.208567895,2251410,1.42
1.20857502,8736474,1.71
1.20857502,19064021,8.6
1.208575026,8173434,1.01
1.208575026,8700174,2.78
1.208575032,8174333,1.16
1.208575045,8639275,29.0
1.208575045,12343905,1.01
1.208575051,8979695,100.0
1.208575051,10410230,1.97
1.208575057,8260515,4.0
1.208575057,9657480,75.0
1.208575164,9624731,4.5
1.208575164,38901959,1.09
1.208575172,9350385,1.51
1.208575172,13714711,2.98
1.208575178,9632014,1.43
1.208575184,8979329,1.27
1.208575184,10460213,100.0
1.20857519,8259098,3.4
1.20857519,8859306,1.45
1.208575414,10166537,100.0
1.208575421,19924830,2.34
1.208575678,10706482,1.06
1.208575685,7692106,1.5
1.208575685,9634024,2.9
1.208587078,8784972,1.05
1.208587078,35737965,21.0
1.208587082,7283310,1.54
1.208587082,42133537,2.84
1.208587086,9629258,1.01
1.208587086,10943021,38.0
1.20858709,4943786,1.18
1.20858709,10348656,6.4
1.208587094,9635566,1.46
1.208587094,21067307,3.25
1.208587098,5248977,1.12
1.208587098,8944358,8.8
1.208587102,3990441,34.0
1.208587102,41341015,1.01
1.208587106,9345630,2.02
1.208587106,51650670,1.98
1.20858711,11861440,2.82
1.20858711,20136621,1.55
1.208587114,7299657,100.0
1.208587114,9633869,1.01
1.208587118,10351066,1.01
1.208587118,24143426,80.0
1.208587122,5300861,2.74
1.208587122,9632758,1.61
1.208587162,2328051,3.4
1.208587162,8907168,1.42
1.208587166,6603944,1.11
1.208587166,21651917,13.5
1.20858717,2415530,4.2
1.20858717,13369546,1.01
1.208595656,11772759,38.0
1.208595656,19924823,1.01
1.208659902,23918302,34.0
1.208659902,40249701,1.04
1.208660121,23389302,1.18
1.208660129,9042349,1.8
1.208660129,9627959,2.08
1.20866399,8263928,1.35
1.20866399,47761185,3.85
1.208671406,9634158,3.6
1.208671406,11928538,1.38
1.208671409,7688602,2.88
1.208671409,9712890,1.53
1.208671516,8194193,3.7
1.208671516,10460261,1.02
1.208671518,39835947,1.38
1.208671533,11665053,50.0
1.208671533,11960530,1.02
1.208671655,9631561,1.89
1.208671655,25787518,2.12
1.208671662,8173039,1.74
1.208671662,20955040,2.12
1.208671793,24918582,1.38
1.208671795,19931598,1.01
1.208671795,21256256,140.0
1.208675242,9258744,1.78
1.208675353,4691416,1.45
1.208675354,16574621,3.85
1.208675495,9628642,1.12
1.208675495,14833273,9.2
1.208675497,8874195,1.1
1.208675497,16570583,11.0
1.208675624,8890205,2.3
1.208675624,10303684,1.77
1.208676771,11276067,1.01
1.208681667,49657557,7.2
1.208681667,51540684,1.16
1.208681676,22796160,21.0
1.208681676,24112208,1.05
1.208681678,51696965,2.9
1.208681678,51696966,1.52
1.208681688,26861863,100.0
1.208681688,50047632,1.17
1.208683325,10302601,1.12
1.208683325,44468624,9.2
1.208683326,8861027,1.2
1.208683351,42455111,1.8
1.208683351,48781048,2.26
1.208688813,4521608,4.2
1.208688814,10583361,1.16
1.208688814,45377348,7.6
1.208688817,16570658,1.64
1.208688918,44982571,1.05
1.208688929,2258415,2.0
1.208688929,8284482,1.99
1.20868907,19544747,1.01
1.208689071,7797896,520.0
1.208689071,9631478,1.01
1.208689075,25085114,17.5
1.2086892,13459272,1.4
1.208689201,7364095,1.01
1.208689201,10760646,1.28
1.208689204,9632269,2.46
1.208689329,9631178,1.94
1.208689329,19544753,2.08
1.208689334,7534093,1.01
1.208689334,8257852,34.0
1.208689459,7412809,3.25
1.208689459,9953339,1.44
1.20868946,2257536,1.9
1.20868946,10299130,2.0
1.208689463,20955021,3.75
1.208689588,8427047,9.4
1.208689588,8979354,1.12
1.208689589,8596391,1.01
1.208689589,51710648,100.0
1.208689674,3911345,1.72
1.208689674,8957119,2.42
1.208689675,6603898,1.58
1.208689675,9631609,2.38
1.208694215,13426866,2.92
1.208694215,42313580,1.52
1.208695906,42046932,1.78
1.208696,7032057,2.88
1.208696,42830226,1.41
1.208696007,19075729,1.87
1.208696007,25081774,1.95
1.208696008,8284716,1.07
1.208696008,9634468,2.28
1.208696104,10902197,1.06
1.208696104,16241314,3.0
1.208696116,5829494,2.28
1.208696116,9635538,1.83
1.208696346,4822931,1.02
1.208696346,10506880,21.0
1.208696351,15231589,4.4
1.208696477,14833278,2.76
1.208696477,21809027,1.57
1.208696478,9632015,1.13
1.208696618,10299127,140.0
1.208696618,11510034,1.09
1.208696654,9630879,1.14
1.208696773,9626818,1.26
1.208696783,7234519,1.35
1.208696783,15313801,3.0
1.208696866,10777073,14.0
1.208696866,10896515,1.07
1.208696955,9042439,1.01
1.208696955,37113919,100.0
1.208696957,8461061,1.01
1.208696957,21809000,110.0
1.208697041,9634390,26.0
1.208697041,9634412,1.01
1.208697084,9420501,1.96
1.208697084,12819795,2.04
1.208697172,9636573,2.14
1.208697173,24985205,1.8
1.208704521,9623782,1.5
1.208704521,9638070,3.0
1.208704524,6176340,2.06
1.208704524,40576393,100.0
1.208704613,8477117,1.96
1.208704613,9454286,2.04
1.208709784,9623184,1.57
1.208710111,42071801,1.02
1.208710867,8978439,100.0
1.208711587,19931598,1.3
1.208712221,10410389,1.63
1.208712221,13268652,2.58
1.208714754,9712890,2.04
1.208714754,39835947,1.96
1.208717768,2257536,1.06
1.208717768,6579389,15.0
1.208719691,9953339,1.34
1.208719691,44982571,3.7
1.208720986,10033628,50.0
1.208720986,36157019,1.01
1.208721812,8596391,34.0
1.208721812,9628967,1.03
1.208722484,9042439,2.34
1.208722484,9632250,1.72
1.208723038,9712876,1.62
1.208723038,15313801,2.6
1.208723155,10082229,1.01
1.208723155,19544747,2.52
1.208723546,9420501,140.0
1.208723546,9632015,1.01
1.20873041,8521090,2.4
1.208730691,8461061,1.59
1.208730691,9634412,2.7
1.2087314,9630724,2.44
1.208731489,9624059,1.51
1.208731489,42261607,100.0
1.208731508,13525069,2.18
1.208731508,45923381,1.9
1.208731509,45691189,2.0
1.208731509,46851805,1.06
1.208731512,12733978,1.72
1.208731512,51730487,2.38
1.20873807,51718095,1.1
1.208738074,40840421,1.7
1.208738082,8686702,1.07
1.208738082,35766604,15.0
1.20873809,51718121,2.06
1.20873809,51718122,1.95
1.208738094,47983330,1.61
1.208738102,43352014,1.14
1.208738102,51718171,8.0
1.208738106,51718172,1.7
1.20873811,47177552,1.21
1.20873811,47754226,3.85
1.208738506,51718179,1.01
1.208738514,45284030,2.54
