tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,299,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,206173,11.0,,Jannik Sinner,R,191.0,ITA,21.5,7-6(4) 6-3,3,SF,112.0,5.0,1.0,72.0,52.0,38.0,9.0,11.0,1.0,2.0,4.0,4.0,72.0,36.0,28.0,17.0,10.0,4.0,6.0,2.0,6780.0,13.0,2655.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,298,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,126207,14.0,,Frances Tiafoe,R,188.0,USA,25.1,7-5 7-6(4),3,SF,106.0,9.0,2.0,75.0,44.0,35.0,20.0,12.0,1.0,3.0,3.0,1.0,75.0,44.0,31.0,15.0,12.0,8.0,11.0,6.0,3775.0,16.0,2395.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,297,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,200000,8.0,,Felix Auger Aliassime,R,193.0,CAN,22.5,6-4 6-4,3,QF,120.0,2.0,2.0,58.0,36.0,29.0,13.0,10.0,3.0,4.0,6.0,6.0,82.0,46.0,32.0,15.0,10.0,9.0,12.0,2.0,6780.0,10.0,3245.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,296,206173,11.0,,Jannik Sinner,R,191.0,ITA,21.5,126203,4.0,,Taylor Fritz,R,196.0,USA,25.3,6-4 4-6 6-4,3,QF,137.0,5.0,1.0,88.0,56.0,45.0,15.0,15.0,1.0,3.0,4.0,0.0,92.0,50.0,35.0,23.0,15.0,6.0,9.0,13.0,2655.0,5.0,3795.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,295,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,200221,23.0,,Alejandro Davidovich Fokina,R,183.0,ESP,23.7,6-3 7-5,3,QF,106.0,4.0,7.0,70.0,39.0,33.0,17.0,11.0,6.0,6.0,1.0,0.0,75.0,53.0,34.0,11.0,10.0,5.0,7.0,6.0,3775.0,28.0,1390.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,294,126207,14.0,,Frances Tiafoe,R,188.0,USA,25.1,111815,10.0,,Cameron Norrie,L,188.0,GBR,27.5,6-4 6-4,3,QF,99.0,4.0,2.0,58.0,31.0,24.0,15.0,10.0,5.0,7.0,7.0,3.0,59.0,32.0,23.0,11.0,10.0,5.0,9.0,16.0,2395.0,12.0,2815.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,293,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,207733,,,Jack Draper,L,193.0,GBR,21.2,6-2 2-0 RET,3,R16,46.0,3.0,0.0,27.0,20.0,16.0,6.0,5.0,3.0,3.0,1.0,1.0,34.0,22.0,11.0,4.0,5.0,2.0,5.0,2.0,6780.0,56.0,854.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,292,200000,8.0,,Felix Auger Aliassime,R,193.0,CAN,22.5,126205,17.0,,Tommy Paul,R,185.0,USA,25.8,3-6 6-3 7-6(6),3,R16,166.0,12.0,7.0,95.0,55.0,43.0,21.0,15.0,7.0,9.0,0.0,4.0,105.0,72.0,50.0,17.0,15.0,6.0,8.0,10.0,3245.0,19.0,2000.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,291,126203,4.0,,Taylor Fritz,R,196.0,USA,25.3,105916,,,Marton Fucsovics,R,188.0,HUN,31.0,6-4 6-3,3,R16,101.0,2.0,4.0,79.0,48.0,33.0,17.0,10.0,3.0,4.0,4.0,1.0,54.0,31.0,23.0,8.0,9.0,2.0,5.0,5.0,3795.0,84.0,652.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,290,206173,11.0,,Jannik Sinner,R,191.0,ITA,21.5,104527,,PR,Stan Wawrinka,R,183.0,SUI,37.9,6-1 6-4,3,R16,98.0,5.0,0.0,64.0,31.0,21.0,20.0,9.0,8.0,9.0,1.0,1.0,63.0,34.0,20.0,11.0,8.0,10.0,14.0,13.0,2655.0,100.0,557.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,289,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,100644,12.0,,Alexander Zverev,R,198.0,GER,25.8,6-7(5) 7-6(5) 7-5,3,R16,197.0,12.0,5.0,131.0,87.0,65.0,24.0,18.0,15.0,17.0,7.0,3.0,124.0,93.0,66.0,17.0,18.0,5.0,8.0,6.0,3775.0,14.0,2500.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,288,200221,23.0,,Alejandro Davidovich Fokina,R,183.0,ESP,23.7,106426,,Q,Cristian Garin,R,185.0,CHI,26.7,6-3 6-4,3,R16,84.0,5.0,0.0,57.0,31.0,22.0,15.0,10.0,1.0,3.0,1.0,2.0,56.0,36.0,23.0,8.0,9.0,1.0,5.0,28.0,1390.0,97.0,566.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,287,111815,10.0,,Cameron Norrie,L,188.0,GBR,27.5,126094,6.0,,Andrey Rublev,R,188.0,RUS,25.3,6-2 6-4,3,R16,78.0,2.0,2.0,55.0,33.0,26.0,9.0,9.0,3.0,5.0,8.0,2.0,52.0,26.0,19.0,8.0,9.0,0.0,5.0,12.0,2815.0,7.0,3660.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,286,126207,14.0,,Frances Tiafoe,R,188.0,USA,25.1,126214,,Q,Alejandro Tabilo,L,188.0,CHI,25.7,6-4 6-4,3,R16,81.0,6.0,4.0,71.0,43.0,33.0,14.0,10.0,5.0,6.0,5.0,1.0,54.0,35.0,25.0,9.0,10.0,0.0,3.0,16.0,2395.0,187.0,314.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,285,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,134868,31.0,,Tallon Griekspoor,R,188.0,NED,26.6,7-6(4) 6-3,3,R32,101.0,0.0,3.0,72.0,44.0,33.0,19.0,11.0,2.0,2.0,1.0,3.0,69.0,46.0,33.0,12.0,10.0,3.0,4.0,2.0,6780.0,36.0,1034.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,284,207733,,,Jack Draper,L,193.0,GBR,21.2,104918,,,Andy Murray,R,191.0,GBR,35.8,7-6(6) 6-2,3,R32,123.0,8.0,1.0,65.0,40.0,29.0,17.0,10.0,4.0,5.0,3.0,5.0,76.0,44.0,30.0,15.0,10.0,7.0,10.0,56.0,854.0,55.0,855.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,283,126205,17.0,,Tommy Paul,R,185.0,USA,25.8,128034,9.0,,Hubert Hurkacz,R,196.0,POL,26.0,4-6 6-2 6-4,3,R32,116.0,6.0,5.0,87.0,58.0,47.0,12.0,14.0,6.0,8.0,8.0,3.0,81.0,44.0,33.0,18.0,14.0,6.0,10.0,19.0,2000.0,11.0,3110.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,282,200000,8.0,,Felix Auger Aliassime,R,193.0,CAN,22.5,202103,27.0,,Francisco Cerundolo,R,185.0,ARG,24.5,7-5 6-4,3,R32,130.0,6.0,8.0,83.0,41.0,31.0,21.0,11.0,5.0,7.0,2.0,3.0,63.0,43.0,30.0,8.0,11.0,4.0,8.0,10.0,3245.0,32.0,1275.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,281,126203,4.0,,Taylor Fritz,R,196.0,USA,25.3,202104,30.0,,Sebastian Baez,R,170.0,ARG,22.1,6-1 6-2,3,R32,70.0,4.0,2.0,42.0,24.0,21.0,5.0,8.0,2.0,4.0,0.0,1.0,49.0,32.0,15.0,4.0,7.0,6.0,12.0,5.0,3795.0,35.0,1135.0,2023-03-06
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,280,105916,,,Marton Fucsovics,R,188.0,HUN,31.0,144684,,,Alex Molcan,L,178.0,SVK,25.2,6-4 6-2,3,R32,78.0,1.0,0.0,42.0,24.0,22.0,14.0,9.0,0.0,0.0,0.0,2.0,51.0,30.0,24.0,8.0,9.0,3.0,6.0,84.0,652.0,63.0,820.0,2023-03-06
