tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date
2023-609,Indian Wells,Hard,96,PM,2023-03-06,300,214981,10.0,,Elena Rybakina,R,184.0,KAZ,23.7,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.8,7-6(11) 6-4,3,F,123.0,7.0,2.0,91.0,47.0,30.0,23.0,11.0,4.0,6.0,4.0,10.0,89.0,56.0,38.0,11.0,11.0,7.0,10.0,10.0,2935.0,2.0,6100.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,299,214981,10.0,,Elena Rybakina,R,184.0,KAZ,23.7,216347,1.0,,Iga Swiatek,R,176.0,POL,21.7,6-2 6-2,3,SF,76.0,7.0,2.0,56.0,34.0,28.0,9.0,8.0,3.0,4.0,1.0,2.0,43.0,28.0,12.0,6.0,8.0,0.0,5.0,10.0,2935.0,1.0,10585.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,298,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.8,206289,7.0,,Maria Sakkari,R,172.0,GRE,27.6,6-2 6-3,3,SF,83.0,4.0,5.0,55.0,31.0,23.0,12.0,9.0,2.0,4.0,2.0,3.0,59.0,33.0,23.0,6.0,8.0,5.0,10.0,2.0,6100.0,7.0,3451.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,297,216347,1.0,,Iga Swiatek,R,176.0,POL,21.7,201514,,,Sorana Cirstea,R,176.0,ROU,32.9,6-2 6-3,3,QF,82.0,1.0,1.0,52.0,34.0,24.0,9.0,9.0,0.0,2.0,1.0,3.0,51.0,31.0,15.0,9.0,8.0,3.0,8.0,1.0,10585.0,83.0,743.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,296,214981,10.0,,Elena Rybakina,R,184.0,KAZ,23.7,214096,,,Karolina Muchova,R,178.0,CZE,26.5,7-6(4) 2-6 6-4,3,QF,165.0,6.0,6.0,104.0,54.0,41.0,26.0,15.0,3.0,6.0,1.0,6.0,108.0,62.0,47.0,22.0,15.0,12.0,14.0,10.0,2935.0,76.0,791.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,295,206289,7.0,,Maria Sakkari,R,172.0,GRE,27.6,201520,15.0,,Petra Kvitova,L,183.0,CZE,32.9,4-6 7-5 6-1,3,QF,135.0,6.0,2.0,86.0,51.0,37.0,15.0,15.0,6.0,9.0,6.0,12.0,92.0,51.0,36.0,18.0,14.0,4.0,9.0,7.0,3451.0,15.0,2227.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,294,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.8,221103,6.0,,Coco Gauff,R,175.0,USA,18.9,6-4 6-0,3,QF,64.0,5.0,0.0,41.0,30.0,26.0,6.0,8.0,0.0,0.0,6.0,3.0,54.0,28.0,16.0,11.0,8.0,4.0,8.0,2.0,6100.0,6.0,4251.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,293,216347,1.0,,Iga Swiatek,R,176.0,POL,21.7,221054,,,Emma Raducanu,R,175.0,GBR,20.3,6-3 6-1,3,R16,84.0,1.0,1.0,47.0,33.0,29.0,6.0,8.0,2.0,2.0,1.0,3.0,54.0,34.0,15.0,10.0,8.0,6.0,10.0,1.0,10585.0,77.0,784.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,292,201514,,,Sorana Cirstea,R,176.0,ROU,32.9,201614,5.0,,Caroline Garcia,R,177.0,FRA,29.3,6-4 4-6 7-5,3,R16,143.0,2.0,5.0,100.0,55.0,33.0,28.0,16.0,4.0,9.0,8.0,3.0,96.0,55.0,36.0,18.0,16.0,6.0,12.0,83.0,743.0,5.0,4905.0,2023-03-06
2023-609,Indian Wells,Hard,96,PM,2023-03-06,291,214096,,,Karolina Muchova,R,178.0,CZE,26.5,214954,,,Marketa Vondrousova,L,173.0,CZE,23.6,6-4 6-7(2) 6-4,3,R16,155.0,2.0,4.0,111.0,67.0,39.0,24.0,16.0,2.0,6.0,2.0,6.0,95.0,55.0,30.0,23.0,16.0,5.0,11.0,76.0,791.0,105.0,632.0,2023-03-06
