market_id,market_time,market_name,runner_1,runner_2
1.209369467,2023-01-30 17:00:00+00:00,Match Odds,B Baker,D Van Orderlain
1.209369467,2023-01-30 17:00:00+00:00,Match Odds,B Baker,D Van Orderlain
1.209369465,2023-01-30 20:00:00+00:00,Match Odds,C Oliveira,L Telles
1.209369465,2023-01-30 20:00:00+00:00,Match Odds,C Oliveira,L Telles
1.209369464,2023-01-30 19:00:00+00:00,Match Odds,M Mroz,S Sotelo
1.209369464,2023-01-30 19:00:00+00:00,Match Odds,M Mroz,S Sotelo
1.209266250,2023-01-28 23:00:00+00:00,Match Odds,Max Purcell,Alex Bolt
1.209266250,2023-01-28 23:00:00+00:00,Match Odds,Max Purcell,Alex Bolt
1.209266344,2023-01-28 23:00:00+00:00,Match Odds,Adam Walton,Yuki Mochizuki
1.209266344,2023-01-28 23:00:00+00:00,Match Odds,Adam Walton,Yuki Mochizuki
1.209266465,2023-01-28 23:00:00+00:00,Match Odds,Maxime Chazal,Yuta Shimizu
1.209266465,2023-01-28 23:00:00+00:00,Match Odds,Maxime Chazal,Yuta Shimizu
1.209266464,2023-01-28 23:00:00+00:00,Match Odds,Shuichi Sekiguchi,Dane Sweeny
1.209266464,2023-01-28 23:00:00+00:00,Match Odds,Shuichi Sekiguchi,Dane Sweeny
1.209266552,2023-01-28 23:00:00+00:00,Match Odds,Yasutaka Uchiyama,Thomas Fancutt
1.209266552,2023-01-28 23:00:00+00:00,Match Odds,Yasutaka Uchiyama,Thomas Fancutt
1.209266245,2023-01-28 23:00:00+00:00,Match Odds,Tristan Schoolkate,Rio Noguchi
1.209266245,2023-01-28 23:00:00+00:00,Match Odds,Tristan Schoolkate,Rio Noguchi
1.209271965,2023-01-30 00:00:00+00:00,Match Odds,Katie Boulter,Su Jeong Jang
1.209271965,2023-01-30 00:00:00+00:00,Match Odds,Katie Boulter,Su Jeong Jang
1.209271973,2023-01-30 00:00:00+00:00,Match Odds,Ysaline Bonaventure,Lesia Tsurenko
1.209271973,2023-01-30 00:00:00+00:00,Match Odds,Ysaline Bonaventure,Lesia Tsurenko
1.209272251,2023-01-30 00:00:00+00:00,Match Odds,Lin Zhu,Xiyu Wang
1.209272251,2023-01-30 00:00:00+00:00,Match Odds,Lin Zhu,Xiyu Wang
1.209274704,2023-01-30 00:00:00+00:00,Match Odds,Lanlana Tararudee,Mirjam Bjorklund
1.209274704,2023-01-30 00:00:00+00:00,Match Odds,Lanlana Tararudee,Mirjam Bjorklund
1.209276798,2023-01-30 00:00:00+00:00,Match Odds,Kristina Mladenovic,Petra Martic
1.209276798,2023-01-30 00:00:00+00:00,Match Odds,Kristina Mladenovic,Petra Martic
1.209277066,2023-01-30 00:00:00+00:00,Match Odds,Alize Cornet,Camila Osorio
1.209277066,2023-01-30 00:00:00+00:00,Match Odds,Alize Cornet,Camila Osorio
1.209277550,2023-01-30 00:00:00+00:00,Match Odds,Dalma Galfi,Maryna Zanevska
1.209277550,2023-01-30 00:00:00+00:00,Match Odds,Dalma Galfi,Maryna Zanevska
