alias,full_name
A. Raducanu,Emma Raducanu
E. Rybakina,Elena Rybakina
C. Ruud,Casper Ruud
D. Medvedev,Daniil Medvedev
J. Sinner,Jannik Sinner
A. Zverev,Alexander Zverev
M. Berrettini,Matteo Berrettini
A. Sabalenka,Aryna Sabalenka
V. Azarenka,Victoria Azarenka
A. Pavlyuchenkova,Anastasia Pavlyuchenkova
I. Swiatek,Iga Swiatek
C. Gauff,Coco Gauff
O. Jabeur,Ons Jabeur
K. Pliskova,Karolina Pliskova
B. Krejcikova,Barbora Krejcikova
E. Svitolina,Elina Svitolina
V. Kudermetova,Veronika Kudermetova
P. Badosa,Paula Badosa
E. Raducanu,Emma Raducanu
B. Andreescu,Bianca Andreescu
L. Fernandez,Leylah Fernandez
N. Osaka,Naomi Osaka
S. Halep,Simona Halep
P. Kvitova,Petra Kvitova
M. Keys,Madison Keys
J. Pegula,Jessica Pegula
S. Kenin,Sofia Kenin
E. Navarro,Emma Navarro
